equate	instrument	domain	item	label	(0,6]	(6,12]	(12,18]	(18,24]	(24,30]	(30,36]	(36,42]	(42,48]	(48,54]	(54,60]	<NA>
GM46	Bayley3	Gross Motor	b3g46	Stands up Series: Mature											
GM47	Bayley3	Gross Motor	b3g47	Walks Up Stairs Series: Both feet on each step, with support.											
GM48	Bayley3	Gross Motor	b3g48	Walks backward 2 steps											
GM49	Bayley3	Gross Motor	b3g49	Walks Down Stairs Series: Both feet on each step, with support											
GM50	Bayley3	Gross Motor	b3g50	Runs with coordination											
GM51	Bayley3	Gross Motor	b3g51	Balances on Right Foot Series: With support											
GM51	Bayley3	Gross Motor	b3g52	Balances on Left Foot Series: With support											
GM53	Bayley3	Gross Motor	b3g53	Walks sideways without support											
GM54	Bayley3	Gross Motor	b3g54	Jumps from bottom step											
GM55	Bayley3	Gross Motor	b3g55	Kicks ball											
GM56	Bayley3	Gross Motor	b3g56	Walks forward on path											
GM57	Bayley3	Gross Motor	b3g57	Walks Up Stairs Series: Both feet on each step, alone.											
GM58	Bayley3	Gross Motor	b3g58	Walks Down Stairs Series: Both feet on each step, alone											
GM59	Bayley3	Gross Motor	b3g59	Jumps Forward Series: 4 inches											
GM60	Bayley3	Gross Motor	b3g60	Balances on right Foot Series: 2 seconds, alone											
GM61	Bayley3	Gross Motor	b3g61	Balances on Left Foot Series: 2 seconds, alone											
GM62	Bayley3	Gross Motor	b3g62	Walks on tiptoes 4 steps											
GM63	Bayley3	Gross Motor	b3g63	Walks backward close to path											
GM64	Bayley3	Gross Motor	b3g64	Walks Up Stairs Series: Alternating feet, alone											
GM65	Bayley3	Gross Motor	b3g65	Imitates postures											
GM66	Bayley3	Gross Motor	b3g66	Stops from a full run											
GM67	Bayley3	Gross Motor	b3g67	Walks Down Stairs Series: Alternating feet, alone											
GM68	Bayley3	Gross Motor	b3g68	Hops 5 feet											
GM69	Bayley3	Gross Motor	b3g69	Balances on Right Foot Series: 8 seconds, alone											
GM69	Bayley3	Gross Motor	b3g70	Balances on Left Foot Series: 8 seconds, alone											
GM71	Bayley3	Gross Motor	b3g71	Walks heel to toe											
GM72	Bayley3	Gross Motor	b3g72	Jumps Forward Series: 24 inches											
REC2	Bayley3	Receptive	b3r10	Interrupts activity											
REC3	Bayley3	Receptive	b3r11	Recognizes 2 familiar words											
REC4	Bayley3	Receptive	b3r12	Responds to no-no											
REC5	Bayley3	Receptive	b3r13	Attends to other's play routine											
REC6	Bayley3	Receptive	b3r14	Responds to request for social routines											
REC7	Bayley3	Receptive	b3r15	Identifies Object Series: 1 correct											
REC8	Bayley3	Receptive	b3r16	Identifies object in the environment											
REC9	Bayley3	Receptive	b3r17	Identifies Picture Series: 1 correct											
REC10	Bayley3	Receptive	b3r18	Understands inhibitory words											
REC11	Bayley3	Receptive	b3r19	Identifies Object Series: 3 correct											
REC13	Bayley3	Receptive	b3r20	Follows one-part directions											
REC14	Bayley3	Receptive	b3r21	Identifies Picture Series: 3 Correct											
REC15	Bayley3	Receptive	b3r22	Identifies 3 clothing items											
REC16	Bayley3	Receptive	b3r23	Identifies Action Picture Series: 1 correct											
REC17	Bayley3	Receptive	b3r24	Identifies 5 parts of the body											
REC18	Bayley3	Receptive	b3r25	Follows two-part directions											
REC19	Bayley3	Receptive	b3r26	Identifies Action Picture Series: 3 correct											
REC20	Bayley3	Receptive	b3r27	Understands use of objects											
REC21	Bayley3	Receptive	b3r28	Understands part/whole relationships											
REC22	Bayley3	Receptive	b3r29	Identifies Action Picture Series: 5 correct											
REC24	Bayley3	Receptive	b3r30	Understands pronouns (him, me, my, you, your)											
REC25	Bayley3	Receptive	b3r31	Understands labels for sizes											
REC26	Bayley3	Receptive	b3r32	Understands Preposition Series: 2 correct											
REC27	Bayley3	Receptive	b3r33	Understands possessives											
REC28	Bayley3	Receptive	b3r34	Understands verb +ing											
REC29	Bayley3	Receptive	b3r35	Identifies colours											
REC30	Bayley3	Receptive	b3r36	Understands label of one											
REC31	Bayley3	Receptive	b3r37	Understands pronouns (they, he, she)											
REC32	Bayley3	Receptive	b3r38	Understands pronouns (his, her)											
REC33	Bayley3	Receptive	b3r39	Understands plurals											
REC35	Bayley3	Receptive	b3r40	Understands more											
REC36	Bayley3	Receptive	b3r41	Understands most											
REC37	Bayley3	Receptive	b3r42	Understands Preposition Series: 4 correct											
REC38	Bayley3	Receptive	b3r43	Understands negatives in sentences											
REC39	Bayley3	Receptive	b3r44	Understands past tense											
REC40	Bayley3	Receptive	b3r45	Understands labels for mass											
REC41	Bayley3	Receptive	b3r46	Understands least											
REC42	Bayley3	Receptive	b3r47	Understands less											
REC43	Bayley3	Receptive	b3r48	Understands descriptive labels											
REC46	Bayley3	Receptive	b3r6	Searches with head turn											
REC47	Bayley3	Receptive	b3r7	Discriminates sounds											
REC48	Bayley3	Receptive	b3r8	Sustained play with objects											
REC49	Bayley3	Receptive	b3r9	Responds to name											
	Battelle		batapd1												
	Battelle		batapd10												
	Battelle		batapd2												
	Battelle		batapd3												
	Battelle		batapd4												
	Battelle		batapd5												
	Battelle		batapd6												
	Battelle		batapd7												
	Battelle		batapd8												
	Battelle		batapd9												
	Battelle	Cognitive	batc1												
	Battelle	Cognitive	batc10												
	Battelle	Cognitive	batc11												
	Battelle	Cognitive	batc12												
	Battelle	Cognitive	batc13												
	Battelle	Cognitive	batc14												
	Battelle	Cognitive	batc15												
	Battelle	Cognitive	batc16												
	Battelle	Cognitive	batc17												
	Battelle	Cognitive	batc18												
	Battelle	Cognitive	batc19												
	Battelle	Cognitive	batc2												
	Battelle	Cognitive	batc20												
	Battelle	Cognitive	batc3	Uncovers hidden toy (TS 81)											
	Battelle	Cognitive	batc4												
	Battelle	Cognitive	batc5												
	Battelle	Cognitive	batc6												
	Battelle	Cognitive	batc7												
	Battelle	Cognitive	batc8												
	Battelle	Cognitive	batc9												
	Battelle		batl1												
	Battelle		batl10												
	Battelle		batl11												
	Battelle		batl12												
	Battelle		batl13												
	Battelle		batl14												
	Battelle		batl15												
	Battelle		batl16												
	Battelle		batl17												
	Battelle		batl18												
	Battelle		batl19												
	Battelle		batl2												
	Battelle		batl20												
	Battelle		batl3												
	Battelle		batl4												
	Battelle		batl5												
	Battelle		batl6												
	Battelle		batl7												
	Battelle		batl8												
	Battelle		batl9												
	Battelle		batm1												
	Battelle		batm10												
	Battelle		batm11												
	Battelle		batm12												
	Battelle		batm13												
	Battelle		batm14												
	Battelle		batm15												
	Battelle		batm16												
	Battelle		batm17												
	Battelle		batm18												
	Battelle		batm19												
	Battelle		batm2												
	Battelle		batm20												
	Battelle		batm3												
	Battelle		batm4												
	Battelle		batm5												
	Battelle		batm6												
	Battelle		batm7	Walks up and down stairs without assistance, placing both feet on each step (mar											
	Battelle		batm8												
	Battelle		batm9												
	Battelle		batsp1												
	Battelle		batsp10												
	Battelle		batsp11												
	Battelle		batsp12												
	Battelle		batsp13												
	Battelle		batsp14												
	Battelle		batsp15												
	Battelle		batsp16												
	Battelle		batsp17												
	Battelle		batsp18												
	Battelle		batsp19												
	Battelle		batsp2												
	Battelle		batsp20												
	Battelle		batsp3												
	Battelle		batsp4												
	Battelle		batsp5												
	Battelle		batsp6												
	Battelle		batsp7												
	Battelle		batsp8												
	Battelle		batsp9												
	Barrera		bm10a	Walks with support, holding on to a railing, furniture or adult (direct obs)											
	Barrera		bm10b	Walks with support, holding on to a railing, furniture or adult (mom report)											
	Barrera		bm11a	Stands for "some moments" (direct obs)											
	Barrera		bm11b	Stands for "some moments" (mom report)											
	Barrera		bm12a	Walks alone with "some steps" (direct obs)											
	Barrera		bm12b	Walks alone with "some steps" (mom report)											
	Barrera		bm13a	Drinks well from a cup or glass (direct obs)											
	Barrera		bm13b	Drinks well from a cup or glass (mom report)											
	Barrera		bm14a	Says more than 5 words (direct obs)											
	Barrera		bm14b	Says more than 5 words (mom report)											
	Barrera		bm15a	Jumps in place (direct obs)											
	Barrera		bm15b	Jumps in place (mom report)											
	Barrera		bm16a	Washes and dries hands (direct obs)											
	Barrera		bm16b	Washes and dries hands (mom report)											
	Barrera		bm17a	Says his full name (direct obs)											
	Barrera		bm17b	Says his full name (mom report)											
	Barrera		bm18a	Copies a circle (direct obs)											
	Barrera		bm18b	Copies a circle (mom report)											
	Barrera		bm19a	Balances on one foot for more than 5 seconds (direct obs)											
	Barrera		bm19b	Balances on one foot for more than 5 seconds (mom report)											
	Barrera		bm1b	Smiles in response to an adult or his/her voice (mom report)											
	Barrera		bm20a	Bowel and bladder control (direct obs)											
	Barrera		bm20b	Bowel and bladder control (mom report)											
	Barrera		bm21a	Copies a square well (direct obs)											
	Barrera		bm21b	Copies a square well (mom report)											
	Barrera		bm22a	Recognizes 4 colors (direct obs)											
	Barrera		bm22b	Recognizes 4 colors (mom report)											
	Barrera		bm2a	Makes sounds spontaneously or in response to a stimulus (direct obs)											
	Barrera		bm2b	Makes sounds spontaneously or in response to a stimulus (mom report)											
	Barrera		bm3a	Has head control while being pulled to sit upright (direct obs)											
	Barrera		bm3b	Has head control while being pulled to sit upright (mom report)											
	Barrera		bm4a	Holds a toy with one or both hands when it is presented  (direct obs)											
	Barrera		bm4b	Holds a toy with one or both hands when it is presented  (mom report)											
	Barrera		bm7b	Starting to crawl (mom report)											
	Barrera		bm8a	Grasps with fingertip to to take small objects (direct obs)											
	Barrera		bm8b	Grasps with fingertip to to take small objects (mom report)											
	Barrera		bm9a	Stands up when being pulled (direct obs)											
	Barrera		bm9b	Stands up when being pulled (mom report)											
	Denver	Fine Motor	df1	Follows To Midline											
FM14	Denver	Fine Motor	df10	Pass Block											
COG27	Denver	Cognitive	df11	Take 2 Blocks											
FM17	Denver	Fine Motor	df12	Thumb-Finger Grip											
COG24	Denver	Cognitive	df13	Bang 2 Blocks 											
COG36	Denver	Cognitive	df14	Put Block in Cup											
FM24	Denver	Fine Motor	df15	Scribbles											
COG42	Denver	Cognitive	df16	Drop Raisin											
FM25	Denver	Fine Motor	df17	2 Blocks											
FM32	Denver	Fine Motor	df18	4 Blocks											
FM32	Denver	Fine Motor	df19	6 Blocks											
	Denver	Fine Motor	df2	Follow Past Midline											
FM36	Denver	Fine Motor	df20	Imitate Vertical Line											
FM50	Denver	Fine Motor	df21	8 Blocks											
	Denver	Fine Motor	df22	Wiggle Thumb											
FM38	Denver	Fine Motor	df23	Copy a Circle											
	Denver	Fine Motor	df24	Draws 3 or more body parts											
FM58	Denver	Fine Motor	df25	Copy +											
	Denver	Fine Motor	df26	Pick Longer Line											
FM57	Denver	Fine Motor	df27	Copy Square, Demonstrated											
	Denver	Fine Motor	df28	Draws 6 or more body parts											
FM63	Denver	Fine Motor	df29	Copy Square											
	Denver	Fine Motor	df3	Hold Rattle											
COG25	Denver	Cognitive	df8	Look for Yarn											
FM9	Denver	Fine Motor	df9	Rake Raisin											
GM73	Denver	Gross Motor	dg1	1. Equal movements											
GM26	Denver	Gross Motor	dg10	Sit No Support											
GM79	Denver	Gross Motor	dg11	11. Stand, Holding On											
GM35	Denver	Gross Motor	dg12	Pull to Stand											
GM80	Denver	Gross Motor	dg12	12. Pull to Stand											
GM81	Denver	Gross Motor	dg13	13. Get To Sitting 											
GM33	Denver	Gross Motor	dg14	Stand 2 Seconds											
GM40	Denver	Gross Motor	dg14	Stand 2 seconds											
GM40	Denver	Gross Motor	dg15	Stand 10 seconds											
GM82	Denver	Gross Motor	dg16	16. Stoop and Recover											
GM43	Denver	Gross Motor	dg17	Walk Well											
GM48	Denver	Gross Motor	dg18	Walk Backwards 											
GM63	Denver	Gross Motor	dg18	Walk Backwards 											
GM50	Denver	Gross Motor	dg19	Runs											
GM74	Denver	Gross Motor	dg2	2. Lift Head											
GM47	Denver	Gross Motor	dg20	Walk Up Stairs 											
GM55	Denver	Gross Motor	dg21	21. Kick Ball Forward											
GM59	Denver	Gross Motor	dg22	Jump Up											
GM44	Denver	Gross Motor	dg23	Throw Ball Overhand											
GM72	Denver	Gross Motor	dg24	Long Jump											
GM51	Denver	Gross Motor	dg25	Balance each foot 1 second											
GM51	Denver	Gross Motor	dg26	Balance each foot 2 seconds											
GM60	Denver	Gross Motor	dg26	Balance each foot  2 second 											
GM61	Denver	Gross Motor	dg26	Balance each foot  2 second 											
GM68	Denver	Gross Motor	dg27	Hop											
GM51	Denver	Gross Motor	dg28	Balance each foot 3 seconds											
GM69	Denver	Gross Motor	dg28	Balance each foot 3 seconds											
GM51	Denver	Gross Motor	dg29	Balance each foot 4 seconds											
GM69	Denver	Gross Motor	dg29	Balance each foot 4 seconds											
	Denver	Gross Motor	dg3	Lift head 45o											
GM76	Denver	Gross Motor	dg4	4. Lift Head 90o											
GM19	Denver	Gross Motor	dg5	Sit, Head Steady											
GM77	Denver	Gross Motor	dg6	6. Bear Weight on Legs											
GM23	Denver	Gross Motor	dg9	Pull to Sit, No Head Lag											
	Denver		dl1	Respond to Bell											
EXP10	Denver	Expressive	dl10	Abba / Mama Nonspecific 											
EXP13	Denver	Expressive	dl11	Combine Syllables 											
EXP55	Denver	Expressive	dl11	11. Combine Syllables 											
EXP56	Denver	Expressive	dl12	Babbles 											
	Denver		dl13												
EXP14	Denver	Expressive	dl14	Say 1 Word 											
EXP18	Denver	Expressive	dl15	Say 2 Words 											
	Denver		dl16												
EXP23	Denver	Expressive	dl17	Say 6 Words 											
REC9	Denver	Receptive	dl18	Point to Pictures (2) 											
EXP26	Denver	Expressive	dl19	Combine Words 											
EXP36	Denver	Expressive	dl19	Combine Words 											
EXP4	Denver	Expressive	dl2	Vocalizes 											
EXP22	Denver	Expressive	dl20	Name Pictures (1)											
REC17	Denver	Receptive	dl21	Body Parts											
REC14	Denver	Receptive	dl22	Point to Pictures (4) 											
EXP57	Denver	Expressive	dl23	Speech Half Understandable											
	Denver		dl24												
REC16	Denver	Receptive	dl25	Know Actions (2)											
EXP58	Denver	Expressive	dl26	Know Adjectives (2)											
COG68	Denver	Cognitive	dl27	Name Color (1 or 4)											
REC20	Denver	Receptive	dl28	Use 2 objects											
COG70	Denver	Cognitive	dl29	Count 1 Block											
EXP6	Denver	Expressive	dl3	"Ooo" / "Aah" 											
REC20	Denver	Receptive	dl30	Use 4 objects											
REC19	Denver	Receptive	dl31	Know Actions (2) (4)											
EXP33	Denver	Expressive	dl32	Speech All-Understandable											
EXP59	Denver	Expressive	dl32	Speech All-Understandable											
REC37	Denver	Receptive	dl33	Understand 4 Prepositions											
EXP41	Denver	Expressive	dl34	Name Color (4)											
EXP60	Denver	Expressive	dl35	Define 5 words											
EXP5	Denver	Expressive	dl4	Laughs 											
EXP53	Denver	Expressive	dl5	Squeals 											
REC49	Denver	Receptive	dl7	Turn to Voice											
EXP8	Denver	Expressive	dl8	Single Syllables 											
EXP16	Denver	Expressive	dl9	Imitate Speech Sounds 											
EXP54	Denver	Expressive	dl9	Imitate Speech Sounds 											
	Denver		dp1												
COG53	Denver	Cognitive	dp10	Play Ball with You 											
COG65	Denver	Cognitive	dp11	Imitate Activities 											
	Denver		dp12												
	Denver		dp13												
	Denver		dp14												
	Denver		dp15												
	Denver		dp16												
	Denver		dp17												
	Denver		dp18												
	Denver		dp19												
	Denver		dp2												
	Denver		dp20												
	Denver		dp21												
	Denver		dp22												
COG71	Denver	Cognitive	dp23	Play Games 											
	Denver		dp24												
	Denver		dp25												
	Denver		dp3												
	Denver		dp4												
	Denver		dp5												
	Denver		dp6												
EXP11	Denver	Expressive	dp7	7. Clapping game "pat a cake"											
EXP9	Denver	Expressive	dp8	Indicate Wants 											
	Denver		dp9												
	Griffiths	Cognitive	gc10	Shows interest in box											
COG30	Griffiths	Cognitive	gc11	(Performance) Holds 2 cubes.											
FM7	Griffiths	Fine Motor	gc12	 (Performance) Takes cube or toy from table											
FM14	Griffiths	Fine Motor	gc13	(Performance) Passes toy from hand to hand											
	Griffiths	Cognitive	gc14	Drops one cube for third											
	Griffiths	Cognitive	gc15	Manipulates 2 objects at once											
	Griffiths	Cognitive	gc16	Reacts to Paper IV - Plays with, crumbles, etc.											
	Griffiths	Cognitive	gc17	Lifts inverted cup in search of toy											
	Griffiths	Cognitive	gc18	Rattles box											
	Griffiths	Cognitive	gc19	Lifts lid off box											
	Griffiths	Cognitive	gc2_1	Remove both cubes from box (shown)											
	Griffiths	Cognitive	gc2_10	Can put lid back on box											
COG49	Griffiths	Cognitive	gc2_11	(Performance) Three hole board - one in.											
	Griffiths	Cognitive	gc2_12	Puts 2 cubes into box lid on - all complete											
	Griffiths	Cognitive	gc2_13	Circle and square board together											
	Griffiths	Cognitive	gc2_14	Three-hole board - two in											
COG56	Griffiths	Cognitive	gc2_15	(Performance) Three-hole board - three in. 											
	Griffiths	Cognitive	gc2_16	Two circle board, rotated											
	Griffiths	Cognitive	gc2_17	Circle and square board rotated 											
	Griffiths	Cognitive	gc2_18	(credit as 2 items)											
	Griffiths	Cognitive	gc2_19	Assembles three boxes 											
	Griffiths	Cognitive	gc2_2	Unwraps and finds toy											
	Griffiths	Cognitive	gc2_20	(credit as 2 items)											
	Griffiths	Cognitive	gc2_21	Can open screw toy 											
COG46	Griffiths	Cognitive	gc2_22	(Performance) Can open screw toy (credit as two items)											
	Griffiths	Cognitive	gc2_23	Three-hole board, rotated 											
COG60	Griffiths	Cognitive	gc2_24	(Performance) Three-hole board, rotated (credit as two items)											
	Griffiths	Cognitive	gc2_3	One circle board - 2 trials											
	Griffiths	Cognitive	gc2_4	Opens 2 boxes											
	Griffiths	Cognitive	gc2_5	Puts cubes in and out of boxes in play											
	Griffiths	Cognitive	gc2_6	Puts 2 cubes back into one box when encouraged to do so											
	Griffiths	Cognitive	gc2_7	Two circle board - one in											
	Griffiths	Cognitive	gc2_8	Square board - 2 trials											
	Griffiths	Cognitive	gc2_9	Two circle board - two in											
FM16	Griffiths	Fine Motor	gc20	(Performance) Clicks 2 bricks together											
	Griffiths	Cognitive	gc21	Tries to take cubes out of box											
	Griffiths	Cognitive	gc22	Finds toy under cup											
COG37	Griffiths	Cognitive	gc23	(Performance) Accepts 3rd cube without dropping											
	Griffiths	Cognitive	gc24	Manipulates box, lid and cubes											
	Griffiths	Cognitive	gc3_1	Reassembles screw toy											
	Griffiths	Cognitive	gc3_2	Returns 9 bricks to box and replaces lid within one minute											
	Griffiths	Cognitive	gc3_3	Four-squares board completed within one minute - 2 trials											
	Griffiths	Cognitive	gc3_4	Six-hole board completed within one minute - 2 trials											
	Griffiths	Cognitive	gc3_5												
	Griffiths	Cognitive	gc3_6												
	Griffiths	Cognitive	gc4	Holds rod put in hand (see E7)											
	Griffiths	Cognitive	gc4_1												
FM48	Griffiths	Fine Motor	gc4_2	(Performance) Builds bridge with 3 boxes - inferior model but still stands.											
	Griffiths	Cognitive	gc4_3												
	Griffiths	Cognitive	gc4_4												
	Griffiths	Cognitive	gc4_5												
	Griffiths	Cognitive	gc4_6												
	Griffiths	Cognitive	gc5_1												
	Griffiths	Cognitive	gc5_2												
	Griffiths	Cognitive	gc5_3												
	Griffiths	Cognitive	gc5_4												
	Griffiths	Cognitive	gc6												
	Griffiths	Cognitive	gc7	Resists withdrawal of rod											
	Griffiths	Cognitive	gc8	Claps cube put in hand											
	Griffiths	Cognitive	gc9	Reaches to Paper III - Pulls it away											
	Griffiths		ge10	Secures dangling ring											
	Griffiths		ge11	Hands explore table surface											
	Griffiths		ge12	Plays with ring - shaking bells, banging, etc.											
COG25	Griffiths	Cognitive	ge13	(Eye and Hand Co-ordination) Looks for falling object											
	Griffiths		ge14												
FM10	Griffiths	Fine Motor	ge15	(Eye and Hand Co-ordination) Forefinger and thumb partly specialized											
COG29	Griffiths	Cognitive	ge16	(Eye and Hand Co-ordination)  Secures ring by means of string on table surface											
FM17	Griffiths	Fine Motor	ge17	(Eye and Hand Co-ordination) Fine prehension.											
COG41	Griffiths	Cognitive	ge18	(Eye and Hand Co-ordination) Dangles ring by the string											
	Griffiths		ge19												
	Griffiths		ge2_1	Uses pencil on paper a little 											
	Griffiths		ge2_10	Constructive play with boxes or other materials 											
COG53	Griffiths	Cognitive	ge2_11	(Eye and Hand Coordination) Constructive play with boxes or other materials (credit as 2 items)											
	Griffiths		ge2_12	Builds tower of 3 bricks											
	Griffiths		ge2_13	Can throw a ball 											
GM44	Griffiths	Gross Motor	ge2_14	(Eye and hand) Can throw a ball											
	Griffiths		ge2_15	Tower of 4+ bricks											
	Griffiths		ge2_16	Enjoys vigourous scribble											
	Griffiths		ge2_17	Can pour water from one cup to another 											
	Griffiths		ge2_18	Tower of 5+ bricks 											
FM38	Griffiths	Fine Motor	ge2_19	(Eye and Hand Co-ordination) Circular scribble in imitation											
	Griffiths		ge2_2												
	Griffiths		ge2_20	Makes train of 3+ bricks 											
	Griffiths		ge2_21	(Credit as 2 items)											
	Griffiths		ge2_22	Makes a brick or toy walk											
FM32	Griffiths	Fine Motor	ge2_23	(Eye and Hand Co-ordination) Tower of 6 or 7 bricks.											
FM36	Griffiths	Fine Motor	ge2_24	(Eye and Hand Co-ordination) Draws a perpendicular stroke or line (in imitation)  											
	Griffiths		ge2_3												
	Griffiths		ge2_4	Can hold 4 cubes in hands at once											
COG39	Griffiths	Cognitive	ge2_5	(Eye and Hand Co-ordination) Plays pushing little cars along											
	Griffiths		ge2_6	Places one box, lid or brick upon another											
FM25	Griffiths	Fine Motor	ge2_7	(Eye and Hand Co-ordination)  Tower of 2 bricks - imitation..											
COG28	Griffiths	Cognitive	ge2_8	(Eye and Hand Co-ordination) Pulls paper or cloth to get toy											
FM24	Griffiths	Fine Motor	ge2_9	(Eye and Hand Co-ordination) Scribbles more freely, and deliberately.											
FM15	Griffiths	Fine Motor	ge20	(Eye and Hand Co-ordination) Thumb opposition complete.											
FM22	Griffiths	Fine Motor	ge21	(Eye and Hand Co-ordination) Can point with index finger.											
	Griffiths		ge22	Interest in motor car											
FM21	Griffiths	Fine Motor	ge23	(Eye and Hand Co-ordination) Can hold pencil as if to mark on paper.											
	Griffiths		ge24												
FM35	Griffiths	Fine Motor	ge3_1	(Eye and Hand Co-ordination) Draws a horizontal stroke in imitation											
	Griffiths		ge3_2	Threads 6 beads											
FM50	Griffiths	Fine Motor	ge3_3	(Eye and Hand Co-ordination) Builds a tower of 8+ bricks.											
	Griffiths		ge3_4	Handles scissors - tries to cut paper (4 inch square)											
	Griffiths		ge3_5	Copies a circle - primitive model. Stage I.											
FM58	Griffiths	Fine Motor	ge3_6	(Eye and Hand Co-ordination) Copies a cross -recognisable. Stage I											
	Griffiths		ge4_1	Folds a four-inch square of paper once (i.e. in half)											
	Griffiths		ge4_2	Threads 12+ beads (not by pattern)											
FM47	Griffiths	Fine Motor	ge4_3	(Eye and Hand Co-ordination) Can cut square into two fairly equal pieces.											
	Griffiths		ge4_4												
	Griffiths		ge4_5												
	Griffiths		ge4_6												
	Griffiths		ge5	Follows a bell-ring - vomed in a complete circle											
	Griffiths		ge5_1												
	Griffiths		ge5_2												
FM63	Griffiths	Fine Motor	ge5_3	(Eye and Hand Co-ordination) Draws a square - recognizable. Stage 1 											
	Griffiths		ge6	Glances from one object to another											
	Griffiths		ge7												
	Griffiths		ge8												
	Griffiths		ge9												
	Griffiths	Gross Motor	gg10												
	Griffiths	Gross Motor	gg11												
GM19	Griffiths	Gross Motor	gg12	(Locomotor) Sits with slight support.											
GM25	Griffiths	Gross Motor	gg13	(Locomotor) Can roll from back to stomach, etc.											
	Griffiths	Gross Motor	gg14												
GM22	Griffiths	Gross Motor	gg15	(Locomotor) Sits alone for a short time											
GM29	Griffiths	Gross Motor	gg16	(Locomotor) Stepping reaction - one foot in front of the other											
GM27	Griffiths	Gross Motor	gg17	(Locomotor) Can be left sitting on the floor.											
	Griffiths	Gross Motor	gg18												
	Griffiths	Gross Motor	gg19												
	Griffiths	Gross Motor	gg2_1												
	Griffiths	Gross Motor	gg2_10												
GM48	Griffiths	Gross Motor	gg2_11	(Locomotor) Can walk backwards a few steps											
	Griffiths	Gross Motor	gg2_12	Walks pulling toy on a string											
	Griffiths	Gross Motor	gg2_13	Climbs stairs (up and down)											
GM50	Griffiths	Gross Motor	gg2_14	(Locomotor) Runs											
	Griffiths	Gross Motor	gg2_15	Jumps (on the level floor)											
	Griffiths	Gross Motor	gg2_16	Climbs to stand on a chair											
GM47	Griffiths	Gross Motor	gg2_17	(Locomotor) Walks upstairs- holding adult's hand											
	Griffiths	Gross Motor	gg2_18	Can seat self at table											
GM49	Griffiths	Gross Motor	gg2_19	(Locomotor) Walks up and down stairs.											
GM40	Griffiths	Gross Motor	gg2_2	(Locomotor) Stands alone 											
GM55	Griffiths	Gross Motor	gg2_20	(Locomotor) Can kick a ball.											
GM54	Griffiths	Gross Motor	gg2_21	(Locomotor) Can jump off a step											
GM58	Griffiths	Gross Motor	gg2_22	(Locomotor) Goes alone on the stairs (any method)											
	Griffiths	Gross Motor	gg2_23	Throws ball into basket 											
	Griffiths	Gross Motor	gg2_24	Can bring chair and seat self at table											
GM42	Griffiths	Gross Motor	gg2_3	(Locomotor) Takes a few steps alone											
	Griffiths	Gross Motor	gg2_4												
	Griffiths	Gross Motor	gg2_5												
	Griffiths	Gross Motor	gg2_6												
GM43	Griffiths	Gross Motor	gg2_7	(Locomotor) Walks alone well											
GM45	Griffiths	Gross Motor	gg2_8	(Locomotor) Stoops.											
	Griffiths	Gross Motor	gg2_9	Develops a quick trot											
	Griffiths	Gross Motor	gg20	Sits well in a chair											
GM35	Griffiths	Gross Motor	gg21	(Locomotor) Pulls self up and stands holding on to furniture.											
GM34	Griffiths	Gross Motor	gg22	(Locomotor) Crawling Reaction IV: Creeps on hands and knees											
GM38	Griffiths	Gross Motor	gg23	(Locomotor) Side-steps around inside cot or play-pen holding rails.											
GM37	Griffiths	Gross Motor	gg24	(Locomotor) Can walk when led.											
	Griffiths	Gross Motor	gg3_1	Jumps off one step- both feet together											
GM69	Griffiths	Gross Motor	gg3_2	(Locomotor) Can stand on one foot - for 6+ seconds											
	Griffiths	Gross Motor	gg3_3	Rises from kneeling without using hands											
	Griffiths	Gross Motor	gg3_4	Can cross both feet and knees when seated											
GM62	Griffiths	Gross Motor	gg3_5	(Locomotor) Can stand and walk tip-toe (6+ steps)											
GM64	Griffiths	Gross Motor	gg3_6	(Locomotor) Walks upstairs: one foot on each step, adult manner.											
	Griffiths	Gross Motor	gg4_1	Can run fast (indoors)											
	Griffiths	Gross Motor	gg4_2												
	Griffiths	Gross Motor	gg4_3												
	Griffiths	Gross Motor	gg4_4	Walks a chalkline - 4 ft											
GM68	Griffiths	Gross Motor	gg4_5	(Locomotor) Can hop on one foot - 3+ steps											
	Griffiths	Gross Motor	gg4_6												
	Griffiths	Gross Motor	gg5												
	Griffiths	Gross Motor	gg5_1												
GM67	Griffiths	Gross Motor	gg5_2	(Locomotor) Walks downstairs: one foot on each step, adult manner.											
	Griffiths	Gross Motor	gg5_3												
	Griffiths	Gross Motor	gg5_4												
	Griffiths	Gross Motor	gg5_5												
	Griffiths	Gross Motor	gg5_6												
	Griffiths	Gross Motor	gg6												
	Griffiths	Gross Motor	gg6_1												
	Griffiths	Gross Motor	gg6_2												
	Griffiths	Gross Motor	gg6_3												
	Griffiths	Gross Motor	gg6_4												
	Griffiths	Gross Motor	gg6_5												
	Griffiths	Gross Motor	gg6_6												
	Griffiths	Gross Motor	gg7												
	Griffiths	Gross Motor	gg7_1												
	Griffiths	Gross Motor	gg7_2												
	Griffiths	Gross Motor	gg8												
	Griffiths	Gross Motor	gg9												
	Griffiths		gh10												
EXP12	Griffiths	Expressive	gh11	Talks (babbles) to person											
	Griffiths		gh12												
	Griffiths		gh13												
EXP10	Griffiths	Expressive	gh14	2 syllable babble											
	Griffiths		gh15												
EXP13	Griffiths	Expressive	gh16	(Hearing and Speech) Babbled phrases: 4 + syllables											
