lex_gcdg	instrument	equate	domain	label	tau
ge3_5	Griffiths	NA	NA	Copies a circle - primitive model. Stage I.	74.4909806229137
ge3_6	Griffiths	FM61	Fine Motor	(Eye and Hand Co-ordination) Copies a cross -recognisable. Stage I	72.5588976057685
ge4_2	Griffiths	NA	NA	Threads 12+ beads (not by pattern)	69.6583651508925
ge4_4	Griffiths	NA	NA	Folds a four-inch square twice	79.7015362092338
ge4_5	Griffiths	NA	NA	Copies a 'ladder'. Stage I.	81.2326385900558
ge10	Griffiths	NA	NA	Secures dangling ring	34.8014188818335
ge11	Griffiths	NA	NA	Hands explore table surface	34.0782359879533
ge14	Griffiths	NA	NA	Strikes one object with another	40.2339990370641
ge16	Griffiths	COG29	Cognitive	(Eye and Hand Co-ordination)  Secures ring by means of string on table surface	39.995686241466
ge18	Griffiths	COG41	Cognitive	(Eye and Hand Co-ordination) Dangles ring by the string	48.4834589055461
ge24	Griffiths	NA	NA	Likes holding little toys 	48.7470644707748
gg2_2	Griffiths	GM40	Gross Motor	(Locomotor) Stands alone 	47.7277935812544
gg2_3	Griffiths	GM42	Gross Motor	(Locomotor) Takes a few steps alone	49.8600719529814
gg2_5	Griffiths	NA	NA	Climbs - stairs (up)	46.5192953213478
gg2_6	Griffiths	NA	NA	Likes pushing pram, toy horse, etc.	49.8887885683393
gg2_7	Griffiths	GM43	Gross Motor	(Locomotor) Walks alone well	50.3783624093362
gg2_8	Griffiths	GM45	Gross Motor	(Locomotor) Stoops.	49.8787794752476
gg2_11	Griffiths	GM48	Gross Motor	(Locomotor) Can walk backwards a few steps	52.6643797399443
gg2_12	Griffiths	NA	NA	Walks pulling toy on a string	53.5924625957647
gg2_14	Griffiths	GM50	Gross Motor	(Locomotor) Runs	61.5313047713505
gg2_15	Griffiths	NA	NA	Jumps (on the level floor)	63.2143519768499
gg2_16	Griffiths	NA	NA	Climbs to stand on a chair	55.4896649516341
gg2_17	Griffiths	GM47	Gross Motor	(Locomotor) Walks upstairs- holding adult's hand	56.4450167284919
gg2_18	Griffiths	NA	NA	Can seat self at table	54.2533173614841
gg3_4	Griffiths	NA	NA	Can cross both feet and knees when seated	69.4565307975607
gg3_5	Griffiths	GM62	Gross Motor	(Locomotor) Can stand and walk tip-toe (6+ steps)	65.6629443307017
gg4_1	Griffiths	NA	NA	Can run fast (indoors)	71.0884371425994
gg4_3	Griffiths	NA	NA	Marches in time to music	79.6810616327759
gg4_4	Griffiths	NA	NA	Walks a chalkline - 4 ft	76.6469607346248
gg4_5	Griffiths	GM68	Gross Motor	(Locomotor) Can hop on one foot - 3+ steps	75.5140797927902
gg8_2	Griffiths	NA	NA	Can jump off 4+ stairs	80.0603783983441
gg10	Griffiths	NA	NA	Can roll from side to side	36.4664567820945
gg11	Griffiths	NA	NA	Crawling Reaction I: Draws up knee	35.3165615115475
gg13	Griffiths	GM25	Gross Motor	(Locomotor) Can roll from back to stomach, etc.	36.4286091348799
gg14	Griffiths	NA	NA	Crawling Reaction II: Tries vigorously to crawl	37.5113308264481
gg15	Griffiths	GM22	Gross Motor	(Locomotor) Sits alone for a short time	37.7395096367061
gg16	Griffiths	GM29	Gross Motor	(Locomotor) Stepping reaction - one foot in front of the other	40.9441708694842
gg17	Griffiths	GM27	Gross Motor	(Locomotor) Can be left sitting on the floor.	37.9795663299894
gh2_7	Griffiths	REC15	Receptive	(Hearing and Speech) One object in box identified	52.0054120643435
gh2_8	Griffiths	NA	NA	Uses 5 clear words	51.9071950739425
gh2_13	Griffiths	EXP23	Expressive	9+  clear words	54.7155480285083
gh2_14	Griffiths	REC19	Receptive	(Hearing and Speech)  Four objects in box identified	57.1729741027385
gh2_15	Griffiths	EXP22	Expressive	(Hearing and Speech) Picture vocabulary (1)	63.3812198795458
gh2_16	Griffiths	NA	NA	Uses 12+ clear words	56.3872708865149
gh2_17	Griffiths	EXP26	Expressive	Uses word combinations	59.1543368199936
gh2_18	Griffiths	NA	NA	Picture vocabulary (2)	64.8562236031467
gh2_19	Griffiths	NA	NA	Uses 20+ clear words	58.8687362631767
gh2_20	Griffiths	NA	NA	Eight objects in box identified	60.2295420670006
gh2_22	Griffiths	EXP27	Expressive	(Hearing and Speech) Names 4 objects in box	62.9748033065226
gh2_23	Griffiths	EXP28	Expressive	(Hearing and Speech) Picture vocabulary (4)	66.1612628056306
gh2_24	Griffiths	EXP29	Expressive	(Hearing and Speech) Uses sentences of 4+ syllables	63.7059402844139
gh3_1	Griffiths	NA	NA	Names 12 of 18 objects in box	68.7471619581119
gh3_2	Griffiths	NA	NA	Picture vocabulary (12)	73.9631187207393
gh3_3	Griffiths	NA	NA	Defines by use (2+) - cup, knife, chair, coat, car, house, pencil, watch, key	70.5849529165072
gh5_1	Griffiths	EXP43	Expressive	(Hearing and Speech) Defines by use: 6+.	72.6671480386486
gh11	Griffiths	EXP12	Expressive	Talks (babbles) to person	38.1951039433037
gh12	Griffiths	NA	NA	Makes 4+ different sounds.	41.326819083208
gh13	Griffiths	NA	NA	Responds when called	35.3263912920886
gh16	Griffiths	EXP13	Expressive	(Hearing and Speech) Babbled phrases: 4 + syllables	44.7339695802744
gh17	Griffiths	EXP14	Expressive	(Hearing and Speech) Says Mama or Dada, etc. (one word clear)	46.294984424038
gh18	Griffiths	NA	NA	Listens to stop watch	47.1814947103319
gh23	Griffiths	NA	NA	Babbled monologue when alone	47.3719334016354
gh24	Griffiths	NA	NA	Says three clear words	48.4163354672429
gp3_4	Griffiths	NA	NA	Compares 2 insets for size "which one is bigger?"	76.3594165763078
gp3_6	Griffiths	COG73	Cognitive	practical reasoning (PR) knows big and little	77.4158082230848
gp4_1	Griffiths	NA	NA	Compares 2 towers: 'Which one is higher?' (5;3 bricks)	78.4734766302031
gp4_2	Griffiths	NA	NA	Compares 2 lines for length	78.6952892292002
gp6_4	Griffiths	NA	NA	Repeats 5 digits - 61384; 59271; 92786	79.2773419754326
j2b	Tepsi	FM52	Fine Motor	Child constructs a bridge with 3 blocks.	67.8017325080839
j5b	Tepsi	FM57	Fine Motor	Child can button 1 large button	67.2247605609542
j6b	Tepsi	FM131	Fine Motor	Child can thread a needle	69.0614156513517
j9b	Tepsi	FM43	Fine Motor	Child copies a circle	69.6607103240288
j10b	Tepsi	FM61	Fine Motor	Child draws 2 perpendicular lines	72.5588976057685
j13b__3	Tepsi	NA	NA	NA	69.7909593399509
j18b	Tepsi	REC40	Receptive	Child understands difference between more and less	71.0433804977938
j20b	Tepsi	NA	NA	Child names 5 out of 8 objects	68.713995048701
j22b	Tepsi	NA	NA	Child names 3 out of 4 actions	69.6129854578718
j23b	Tepsi	NA	NA	Child describes use of objects (minimum 4)	67.7467419867853
j25b	Tepsi	NA	NA	Child can say own name	67.733211055527
j28b__1	Tepsi	NA	NA	Child gives logical response to what to do if "hungry"	68.612615785861
j28b__2	Tepsi	NA	NA	NA	71.1630615101626
j28b__3	Tepsi	NA	NA	NA	70.6157890889205
j29b__1	Tepsi	NA	NA	Child correctly uses preposition "behind"	69.9246918920014
j29b__3	Tepsi	NA	NA	NA	68.2182414634909
j30b__1	Tepsi	NA	NA	Child can describe "ice"	71.0678620562717
j30b__2	Tepsi	NA	NA	Child can describe "mouse"	70.3677775662503
j30b__3	Tepsi	NA	NA	Child can describe "mother"	71.4077218092017
j31b	Tepsi	NA	NA	Child can name at least 2 colors	70.9998221472665
j32b	Tepsi	REC67	Receptive	Child can point to and identify at least 2 colors	69.8307393878659
j34b	Tepsi	REC68	Receptive	Child can point to and identify at least 2 shapes	70.9914245174706
j35b	Tepsi	NA	NA	Child describes a picture	69.4666947343151
j36b	Tepsi	NA	NA	Child can describe an absurd picture	69.2309582774042
j39b__1	Tepsi	NA	NA	Define "apple"	70.8999043187466
j39b__2	Tepsi	NA	NA	Define "ball"	70.5365631212817
j39b__3	Tepsi	NA	NA	Define "show" 	71.0357064554884
j39b__4	Tepsi	NA	NA	Define "coat"	72.3487166279452
j40b	Tepsi	NA	NA	Describe at least 2 characteristics of "ball", "balloon", and "bag"	72.8263612720301
j43b	Tepsi	NA	NA	Child throws ball forward	63.8769336168257
j44b__2	Tepsi	GM60	NA	Child balances on one foot for 5-8 seconds	70.0876573737176
j49b	Tepsi	NA	NA	Child hops on one foot without help	70.5803735771344
j52b	Tepsi	NA	NA	Child walks backwards unassisted >4 steps in a stright line	75.2969219659753
mg2	McCarthy	GM63	Gross Motor	Walks backwards for 5 steps	68.6644042588715
mg3	McCarthy	GM62	Gross Motor	Walks on tiptoes for 5 steps or more	71.5299840971016
mg4a	McCarthy	GM60	Gross Motor	Balances on either foot for 3-9 secs	70.0876573737176
n1	DDI	COG3	Cognitive	Eyes fixate	5.51905331918182
n2	DDI	REC50	Receptive	Reacts when spoken to	2.43246394895093
n6	DDI	EXP2	NA	Smiles in response (M; can ask parents)	11.438132038147
n7	DDI	NA	NA	Follows with eyes and head 30d  < 0 > 30d 	14.5932363730279
n9	DDI	COG18	Cognitive	Watches own hands	20.7583086485158
n10	DDI	EXP5	Expressive	vocalizes in response	14.5465661977576
n11	DDI	NA	NA	Stays suspended when lifted under the armpits	15.9259881680545
n12	DDI	GM12	Gross Motor	Lifts head to 45 degrees on prone position	20
n14	DDI	FM12	Fine Motor	Grasps object within reach	30.1682068420598
n15	DDI	GM23	Gross Motor	No head lag if pulled to sitting	26.1374852710764
n16	DDI	REC6	Receptive	Turn head to sound	30.9034135848916
n18	DDI	NA	NA	Looks around to side with angle face-table 90 	28.0192976481738
n19	DDI	FM19	Fine Motor	Passes cube from hand to hand	36.7087106088918
n20	DDI	COG30	Cognitive	Holds cube, grasps another one with other hand	37.1647694684048
n21	DDI	GM24	Gross Motor	Plays with both feet	33.9153776369646
n22	DDI	GM25	Gross Motor	Rolls over back to front	36.4286091348799
n23	DDI	NA	NA	Balances head well while sitting	33.2046519957164
n24	DDI	NA	NA	Sits on buttocks while legs stretched	35.6976523641625
n25	DDI	EXP10	Expressive	Says dada, baba, gaga	36.6503761062606
n26	DDI	GM26	Gross Motor	Sits in stable position without support	40
n27	DDI	FM26	Fine Motor	Picks up pellet between thumb and index finger	42.9310276394221
n28	DDI	GM30	Gross Motor	Crawls forward, abdomen on the floor	42.8211232350804
n29	DDI	GM35	Gross Motor	Pulls up to standing position	44.0095358333739
n30	DDI	NA	NA	Waves 'bye-bye' (M; can ask parents)	42.7949537640953
n31	DDI	EXP12	Expressive	Babbles while playing	40.8015525746356
n32	DDI	COG36	Cognitive	Puts cube in and out of a box	44.5286386424398
n33	DDI	NA	NA	Plays 'give and take' (M; can ask parents)	45.5241243037673
n34	DDI	NA	NA	Crawls, abdomen off the floor (M; can ask parents)	45.0994558367456
n35	DDI	GM38	Gross Motor	Walks while holding onto play-pen or furniture	45.1013657008065
n36	DDI	NA	NA	Reacts to verbal request (M; can ask parents)	44.8411098403036
n37	DDI	EXP18	Expressive	Uses two words with comprehension	48.7765736215945
n38	DDI	FM31	Fine Motor	Tower of 2 cubes	53.1720119368344
n39	DDI	NA	NA	Explores environment energetically (M; can ask parents)	45.3672318879163
n40	DDI	NA	NA	Says three 'words'	51.103538222373
n41	DDI	NA	NA	Identifies two named objects	53.2201657482059
n42	DDI	GM42	Gross Motor	Walks alone	49.8600719529814
n43	DDI	GM44	Gross Motor	Throws ball without falling	53.9198028959226
n44	DDI	FM72	Fine Motor	Builds tower of 3 cubes	57.0675934979672
n45	DDI	NA	NA	Imitates everyday activities (M; can ask parents)	50.4903603737427
n47	DDI	EXP26	Expressive	Says sentences with 2 words	59.1543368199936
n48	DDI	NA	NA	Understands 'play' orders	55.8761742181246
n49	DDI	GM45	Gross Motor	Squats or bends to pick things up	53.423203127997
n50	DDI	NA	NA	Walks well	53.7308492480432
n51	DDI	FM38	Fine Motor	Tower of 6 cubes	60.8744634627712
n52	DDI	COG49	Cognitive	Places round block in board	59.3849565394626
n55	DDI	NA	NA	Refers to self using 'me' or 'I' (M; can ask parents)	60.7051656104963
n56	DDI	NA	NA	Points at 5 pictures in the book	60.6100822283521
peg2	Pegboard	COG62	Cognitive	Places  6 or more pegs in 30 sec with either hand	72.4562448021153
sa2v4	Vineland	NA	NA	transfer objects	59.0608379915155
sa2v6	Vineland	NA	NA	fetch something	52.0989163606758
sa2v7	Vineland	NA	NA	drink from  cup / glass	52.121898467348
sa2v8	Vineland	GM43	Gross Motor	walk by his / herself	53.0398529922574
sa2v13	Vineland	EXP20	Expressive	use names of objects - shoe	56.6145616569108
sa2v15	Vineland	NA	NA	unwrap sweet	59.8368587900589
sa2v16	Vineland	EXP26	Expressive	use a short sentence	59.1543368199936
sa2v19	Vineland	NA	NA	take off dress / shirt if buttons / zip undone	61.0965828964489
sa2v21	Vineland	NA	NA	dry hands after you have washed them	58.0684828531568
sa2v24	Vineland	EXP45	Expressive	tell you things / simple story	60.1050381967728
sa2v29	Vineland	NA	NA	perform for others stunts / rhymes	57.0754843504311
sa2v30	Vineland	SA1	NA	wash hands and dry	60.0809145735227
sage12	SA_Griffiths	COG17	Cognitive	Carries ring to mouth	36.8103990608857
saghs10	SA_Griffiths	NA	NA	Laughs aloud	36.7328030831447
saghs15	SA_Griffiths	NA	NA	Manipulates bell	38.464182263948
sagl18	SA_Griffiths	NA	NA	Stepping movements	37.2226319649223
sagl22	SA_Griffiths	NA	NA	Can turn on floor	39.3395330530769
sagp16	SA_Griffiths	NA	NA	 Grasps box.	34.8817866827488
sagp17	SA_Griffiths	NA	NA	 Manipulates cube	35.577226986395
sagps6	SA_Griffiths	NA	NA	Vocalises when spoken to	35.4190721061561
sagps8	SA_Griffiths	NA	NA	Coos and smiles	36.1884238335635
sagps9	SA_Griffiths	NA	NA	Friendly to strangers	35.1665203443987
sagps10	SA_Griffiths	NA	NA	Resist ring being taken away	35.9908481597532
sagps16	SA_Griffiths	NA	NA	Stretches to be taken	35.4980657739726
sagps18	SA_Griffiths	NA	NA	Manipulates cup or spoon in play	33.5569831414986
sagps25	SA_Griffiths	NA	NA	Smiles, plays mirror	48.2063405335499
sagps30	SA_Griffiths	NA	NA	Obeys simple requests	48.3924284785067
sagps32	SA_Griffiths	NA	NA	Puts block in and out of cup	48.2939468723198
sagps35	SA_Griffiths	NA	NA	Uses spoon	50.4609240980247
sagps36	SA_Griffiths	NA	NA	Shoes shoes	50.0519895671661
sagps41	SA_Griffiths	NA	NA	Like book showing	51.4815495605595
savine4dryhands	Vineland	NA	NA	Dy hands without help	60.5173957180958
savine4eatfood	Vineland	NA	NA	Eat food with an implement	60.2043750854681
savine4narrates	Vineland	NA	NA	Tell things that happen or simple stories	61.8473831952124
savine4takeoff	Vineland	NA	NA	Take off jacket or dress without help except for zip or buttons	61.7162080808528
savine4washhands	Vineland	SA1	NA	Wash hands without help	60.0809145735227
sbf06	Stanford	NA	NA	Identify missing object: Stick with 2 units (series)	70.3038215327541
sbv03	Stanford	COG56	Cognitive	Places 3 pieces: circle, square, triangle in form board in 15 sec	65.1049777018279
sbw07	Stanford	NA	NA	Repeats sequence of tapping 2 blocks	73.4306590494451
sbw08	Stanford	NA	NA	Repeats sequence of tapping 2 blocks	72.2057799147379
sbw09	Stanford	NA	NA	Repeats sequence of tapping 2 blocks	73.3092015596656
sbw10	Stanford	COG118	Cognitive	Increasingly difficult sequences of tapping blocks v1	75.4570692100756
v20	DDI	FM44	Fine Motor	Imitates building a truck	66.9818777087726
v21	DDI	COG56	Cognitive	Places 3 forms in form-box	64.1837469905387
v22	DDI	FM41	Fine Motor	Imitates drawing vertical line	65.6362932220368
v23	DDI	FM52	Fine Motor	Imitates building a bridge	67.8017325080839
v24	DDI	COG58	Cognitive	Places 4 forms in form-box	68.3429421282943
v26	DDI	FM37	Fine Motor	Holds pencil with fingers	68.4874061547647
v27	DDI	FM43	Fine Motor	Copies a circle	69.6607103240288
v42	DDI	REC24	Receptive	Points at 6 parts of body of a doll.	56.9688623250533
v45	DDI	EXP36	Expressive	Says "sentences" of 3 or more words	62.4861423843825
v46	DDI	NA	NA	Can be understood by family (M; can ask parents)	60.9341470893578
v47	DDI	NA	NA	Talks spontaneously on daily events (M; can ask parents)	66.4221213245822
v48	DDI	EXP32	Expressive	Asks questions about "who", "what", Asks questions beginning by who, what, where and "how"	65.6958292122121
v49	DDI	NA	NA	Can be understood by tester	66.2045815199813
v50	DDI	NA	NA	Asks questions:how many, when, why (M; can ask parents)	68.9997569605898
v72	DDI	GM28	Gross Motor	Can rotace fluently in sitting position	59.1175953517118
v73	DDI	GM43	Gross Motor	Walks well alone/walks smoothly	60.9378247026808
v74	DDI	NA	NA	Rides on tricycle (M; can ask parents)	66.4092565677288
v75	DDI	GM54	Gross Motor	Jumps with both feet simultaneously	66.0722687993469
