item	equate	label
batcgd009	COG179	Visually attends to a light source moving in a 180-degree arc
batcgd010	COG180	Turns eyes towards a light source
batcgd011	COG181	Attends to an ongoing sound or activity for 15 or more seconds
batcgd012	COG182	Attends to a game of pekaboo for 1 min
batcgd013	COG32	Looks at, points to, or touches pictures in a book
batcgd014	COG183	Imitates simple facial gestures
batcgd015	COG45	Finds an object hidden under one of two cups
batcgd016	COG184	Nests objects inside one another
batcgd017	COG185	Locates hidden items in a picture scene - Level 1
batcgd018		Names the colores red, green, and blue
batcgd019	COG186	Locates hidden items in a picture scene - Level 2
batcgd020	COG83	Recognises visual differences among similar numerals and letters
batcgd021	COG88	Identifies the picture that is different
batcgd022	COG187	Categorises familiar objects by function
batcgd023	COG188	Matches simple words
batcgd024	COG189	Knows the right and left sides of his/her body
batcgd025	COG190	Repeats sequences of 4 and 5 objects from memory
batcgd026	COG191	Groups objects by shape and color
batcmd001	REC6	Turns head toward source of sound outside field of vision (TS 61)
batcmd002	EXP3	Vocalizes sound to express feelings (TS 62)
batcmd003	REC11	Associates spoken words with familiar objects or actions(TS 63)
batcmd004	EXP8	Produces one or more single-syllable consonant-vowel sounds (TS 64)
batcmd005	REC69	Responds to simultaneous verbal and gestural commands (TS 65)
batcmd006	EXP23	Uses 1 or more words (TS 66)
batcmd007	REC42	Responds to prepositions in, out, on, in front of, toward, and behind (TS 67)
batcmd008	EXP30	Uses pronouns I, you and me TS 68)
batcmd009	REC3	Is soothed by a familiar adult's voice
batcmd010	EXP98	Produces differenciated cries
batcmd011	REC12	Responds to different tones of a person's voice
batcmd012	REC70	Identifies family members or pets when named
batcmd013	EXP12	Uses variations in his/her voice
batcmd014	REC14	Follows 3 or more familiar verbal commands
batcmd015	EXP99	Spontaneously initiates sounds, words, or gesturres that are associated with objects in the immediate environment
batcmd016	REC32	Responds to the prepositions out and on
batcmd017	EXP26	Uses 2-words utterances to express meaningful relationships
batcmd018	REC71	Responds to who and what questions
batcmd019	EXP100	Uses words to relate information about other people, their actions, or their experiences
batcmd020	REC72	Responds to where and when questions
batcmd021	EXP101	Repeats familiar words with clear articulation
batcmd022	EXP102	Converses on topics for more than 5 turn-taking exchanges
batcmd023	REC73	Identifies a word from its definition
batcmd024	REC74	Follows 3-step verbal commands
batcmd025	EXP38	Uses plural forms ending in the /ez/ sound
batcmd026	EXP103	Recalls events from a sotry presented orally
batcmd027	EXP46	Describes what is happening in a picture
batmod001	FM138	Moves object held in hand to mouth (TS 41)
batmod002	FM12	Reaches for objects placed before him/her and touches it (TS 42)
batmod003	GM34	Moves three or more feet by crawling (TS 43)
batmod004	FM24	Picks up raisin with several fingers opposed to thumb (partial finger prehension
batmod005	GM47	Walks up four steps with support (TS 45)
batmod006	FM26	Picks up raisin with ends of thumb and index finger in overhand approach
batmod007	GM58	Walks up and down stairs without assistance, placing both feet on each step
batmod008	FM139	Places four ring on post in any order (TS 48)
batmod009	GM158	Jumps forward with both feet together (TS49)
batmod010	FM140	Opens door by turning knob(TS 50)
batmod011	GM159	Mantains an upright posture at adult's shoulder without assistance for at least 2 min
batmod012	FM10	Holds hands in an open, loose-fisted position when not grasping an object
batmod013	FM17	Retrieves a small object by raking it with his/her fingers and pulling it into the palm of the hand
batmod014	FM21	Transfers an object from one hand to the other
batmod015	GM160	Moves from a sitting position to a standing position without support
batmod016	GM44	Intentionally propels or throws an object
batmod017	GM161	Maintains or corrects his/her balance when moving from a standing position to other, nonvertical positions
batmod018	FM141	Removes forms from a form board
batmod019	GM50	Runs 1 feet without falling
batmod020	FM30	Scribbles linear and/or circular patterns spontaneously
batmod021	GM162	Walks forward 2 or more steps on a line on the floor, alternating feet
batmod022	FM38	Stacks 8 cubes vertically
batmod023	GM68	Hops forward on one foot without support
batmod024	FM142	Folds a sheet of paper
batmod025	FM143	Touches the fingertips of each hand successively with the thumb of the same hand
batmod026	FM144	Draws a person with 6 parts
batmod027	GM71	Walks a 6-foot line on the floor, heel-to-toe, with eyes open
batmod028	FM145	Copies the numerals 1 through 5
batmod029	GM163	Skips on alternate feet for 20 feet
batmod030	FM146	Ties a single overhand knot around a crayon with a string
batsld001		Shows awareness of his/her hands (TS1)
batsld002		Shows desire to be picked up or held by familiar persons (TS2)
batsld003		Plays peekaboo(TS3)
batsld004	REC9	Responds to his/her name (TS4)
batsld005		Initiates social contact with peers in play (TS5)
batsld006		Imitates another child or children at play(TS6)
batsld007	REC13	Generally follows directions related to daily routine (TS7)
batsld008		Plays independently in company of peers (TS8)
batsld009		Knows his/her first name (TS9)
batsld010		Uses pronoun or his/her name to refer to self (TS10)
batsld011		Shows awareness of other people
batsld012		Smiles or vocalizes in response to adult attention
batsld013		Shows a desire for social attention
batsld014		Is aware of his/her feet
batsld015		Discriminates between familiar and unfamiliar people
batsld016		Displays independent behavior
batsld017		Greets familiar adults spontaneously
batsld018		Responds positively when familiar adults or adults in authority initiate social contact
batsld019		Responds differently to familiar and unfamiliar children
batsld020		Allow others to participate in his/her activities
batsld021		Engages in adult role-playing and imitation
batsld022		Follows adult directions with little or no resistance
batsld023		Recognizes an adult's feelings
batsld024		Cooperates in group activities
batsld025		Discriminates between socially acceptable and unacceptable behavior
batsld026		Trusts familiar adults and accepts explanations from them
batsld027		Waits his/her turn for a teacher's or adult's attention
batsld028		Delays gratification until a task is completed
by1mdd002	COG1	quiets when picked up
by1mdd005	COG3	momentary regard of red ring
by1mdd007	COG8	prolonged regard of red ring
by1mdd022	COG7	anticipatory excitement
by1mdd025	COG6	visually recognises mother
by1mdd031	COG9	reacts to disappearence of face
by1mdd036	COG16	Simple play with rattle
by1mdd037		Reaches for dangling ring
by1mdd038		Pushes car along
by1mdd039		Fingers hand in play
by1mdd040		Head follows dangling ring
by1mdd041		Head follows vanishing spoon
by1mdd042		Aware of strange situation
by1mdd043		Manipulates table edge slightly
by1mdd044	COG17	Carries ring to mouth
by1mdd045	COG18	inspects own hand
by1mdd046		Closes on dangling ring (check hand preference)
by1mdd047	REC6	turns head to sound of bell
by1mdd048	REC52	turns head to sound of rattle
by1mdd049	COG21	reaches for cube
by1mdd050		manipulates table edge actively
by1mdd051		eye-hand coordination in reaching
by1mdd052		regards pellet
by1mdd053	COG19	mirror image approach
by1mdd054		picks up cube (check hand preference)
by1mdd055		Vocalises attitudes
by1mdd056	COG30	retains 2 cubes
by1mdd057		exploitive paper play
by1mdd058		Discriminates strangers
by1mdd059		recovers rattle, in crib
by1mdd060		reaches persistently
by1mdd061		Likes frolic play
by1mdd062		turns head after fallen spoon
by1mdd063		lifts inverted cup
by1mdd064	COG27	reaches for second cube
by1mdd065	COG93	smiles at mirror (5.4 months)
by1mdd066	COG24	bangs in play
by1mdd067	COG95	sustained inspection of ring
by1mdd068	COG23	exploitive string play
by1mdd069	FM21	transfers objects hand to hand
by1mdd070	FM67	picks up cube deftly and directly
by1mdd071	COG96	pulls string: secures ring
by1mdd072	REC51	interest in sound production
by1mdd073	FM25	lifts cup with handle
by1mdd074	FM68	attends to scribbling
by1mdd075	COG25	looks for fallen spoon
by1mdd076	COG22	playful response to mirror
by1mdd077	COG33	retains 2 of 3 cubes offered
by1mdd078	COG26	manipulates bell: insterest in details
by1mdd079	EXP49	vocalizes 4 different syllables
by1mdd080	COG29	pulls string adaptively: secures ring
by1mdd081	COG99	cooperates in games (is this some other scale?)
by1mdd082	COG37	attempts to secure 3 cubes
by1mdd083	COG31	rings bell purposely
by1mdd084	REC11	listens selectively with familiar words
by1mdd085	EXP10	says "da-da" or equivalent
by1mdd086	COG28	Uncovers toy (check manual if by pulling cloth
by1mdd087	COG38	fingers holes in pegboard
by1mdd088	COG100	picks up cup, secures cube
by1mdd089	REC14	responds to verbal request
by1mdd090	COG36	puts cube in cup on command
by1mdd091	COG101	looks for content of box
by1mdd092		stirs with spoon in imitation
by1mdd093	COG32	looks at pictures in book
by1mdd094	REC12	inhibits on command
by1mdd095	FM69	attempting to imitate scribble
by1mdd096	COG102	unwraps cube
by1mdd097		repeats performance laughed at
by1mdd098	FM28	holds crayon adaptively
by1mdd099	COG39	pushes car along
by1mdd100	COG103	puts 3 or more cubes in cup
by1mdd101	EXP12	jabbers expressively
by1mdd102	COG104	uncovers blue box
by1mdd103	FM27	turns pages of books
by1mdd104	COG44	Pats toy (whistle doll) in imitation
by1mdd105	COG41	dangles ring by string
by1mdd106	EXP16	imitates words
by1mdd107	FM70	puts beads in box (6 of 8)
by1mdd108	COG47	places 1 peg repeateadly
by1mdd109	COG42	removes pellet from bottle
by1mdd110	COG51	blue board: places 1 round block
by1mdd111	FM31	builds tower of 2 cubes
by1mdd112	FM30	scribbles sponstaneously
by1mdd113	EXP18	says 2 words
by1mdd114	COG54	puts 9 cubes in cup
by1mdd115	FM71	closes round box
by1mdd116	EXP9	uses gestures to  make wants known
by1mdd117	REC16	shows shoes or other clothing, or own toy
by1mdd118	COG55	pegs placed in 70 seconds
by1mdd119	FM72	builds tower of 3 cubes
by1mdd120	COG49	pink board: places round block
by1mdd121	COG110	blue board: places 2 round blocks
by1mdd122	COG57	attains toy with stick
by1mdd123	COG112	pegs placed in 42 seconds
by1mdd124	EXP20	names 1 object
by1mdd125	FM32	imitates crayon stroke
by1mdd126	REC20	follows directions doll (check parts passed)
by1mdd127	EXP19	uses words to  make wants known
by1mdd128	REC24	points to parts of doll (check parts recognised, check manual number of parts)
by1mdd129	COG58	blue board: places 2 round and 2 square blocks
by1mdd130	EXP22	names 1 picture
by1mdd131	COG105	finds 2 objects
by1mdd132	REC21	points to 3 pictures
by1mdd133		No label:  b1m133
by1mdd134	COG113	pegs placed in 30 seconds
by1mdd135	FM73	differentiates scribble from stroke
by1mdd136	EXP26	sentence of 2 words
by1mdd137	COG56	pink board: completes
by1mdd138	EXP50	names 2 objects
by1mdd139	REC53	points to 5 pictures
by1mdd140	COG106	broken doll: mends approximately
by1mdd141	EXP51	names 3 pictures
by1mdd142	COG111	blue board: places 6 blocks
by1mdd143	FM38	builds tower of 6 cubes
by1mdd144	COG107	discriminates 2: cup, plate, box
by1mdd145	EXP52	names watch, 4th picture
by1mdd146	EXP27	names 3 objects
by1mdd147	FM41	imitates strokes: vertical and horizontal
by1mdd148	REC54	points to 7 pictures
by1mdd149	EXP28	names 5 pictures
by1mdd150	EXP53	names watch, 2nd picture
by1mdd151	COG60	pink board: reverse
by1mdd152	COG108	discriminates 3: cup, plate, box
by1mdd153	COG109	broken doll: mends exactly
by1mdd154	FM44	builds train of cubes
by1mdd155	COG114	blue board: completes in 150 sec
by1mdd156	COG62	pegs placed in 22 seconds
by1mdd157	FM74	folds paper
by1mdd158	REC32	understands 2 prepositions
by1mdd159	COG66	blue board: completes in 90 sec
by1mdd160	COG115	blue board: completes in 60 sec
by1mdd161	FM54	builds ower of 8 cubes
by1mdd162	COG70	concept on one
by1mdd163	REC42	Understands 3 prepositions
by1pdd016		Ulnar-palmar prehension
by1pdd017	GM16	Sits with slight support
by1pdd018	GM13	Head balanced
by1pdd019	GM20	Turns from back to side
by1pdd020	GM81	Lifts head, dorsal position
by1pdd021		Partial thumb opposition
by1pdd022	GM23	Pulls to sitting
by1pdd023	GM22	Sits momentarily
by1pdd024		Unilateral reaching
by1pdd025		Attempts to secure pellet
by1pdd026		Rotates wrist
by1pdd027	GM26	Sits alone 30 seconds
by1pdd028	GM25	Rolls from back to stomach
by1pdd029	GM82	Sits steadily
by1pdd030		Scoops pellet
by1pdd031	GM27	Sits good coordination
by1pdd032		Complete thumb opposition
by1pdd033	GM30	Prewalking
by1pdd034	GM29	Early stepping movements
by1pdd035		Partial finger prehension
by1pdd036	GM83	Pulls to stand
by1pdd037	GM84	Raise self to sitting
by1pdd038	GM35	Stands up by furniture
by1pdd039		Combine midline
by1pdd040	GM85	Stepping movements
by1pdd041		Fine prehension
by1pdd042	GM37	Walks with help
by1pdd043	GM39	Sits down
by1pdd044	GM86	Play clap hands
by1pdd045	GM40	Stands alone
by1pdd046	GM42	Walks alone
by1pdd047	GM41	Stands up
by1pdd048	GM44	Throws ball
by1pdd049	GM38	Walsk sideways
by1pdd050	GM48	Walks backwards
by1pdd051	GM51	Stands on right foot with help
by1pdd052	GM52	Stands on left foot with help
by1pdd053	GM47	Walsk up stairs with help
by1pdd054	GM49	Walks down stairs with help
by1pdd055	GM87	tries to stand on walking board
by1pdd056	GM88	walks with one foot on walking board
by1pdd057	GM46	stands up: II
by1pdd058	GM61	stands on left foot alone
by1pdd059	GM89	jumps off floor, both feet
by1pdd060	GM60	stands on right foot alone
by1pdd061	GM56	walks on line, general direction
by1pdd062	GM90	walking board: stands with both feet
by1pdd063	GM54	jumps from bottom step
by1pdd064	GM57	walks up stairs alone
by1pdd065	GM62	walks on tiptoe, few steps
by1pdd066	GM58	walks down stairs alone
by1pdd067	GM91	walking board: attempts step
by1pdd068	GM63	walks backward, 10 feet.
by1pdd069	GM92	jumps from second step
by1pdd070	GM59	distance jump: 4 to 14 inches
by1pdd071	GM93	stands up: III
by1pdd072	GM64	walks up stairs: alternating forward foot
by1pdd073	GM94	walks on tiptoe, 10 feet
by1pdd074	GM95	walking board: alternates steps part way
by1pdd075	GM96	keeps feet on line, 10 feet
by1pdd076	GM97	distance jump: 14 to 24 inches
by1pdd077	GM98	Jumps over string 2 inches high
by1pdd078	GM72	distance jump: 24 to 34 inches
by1pdd079	GM68	hops on one foot, 2 or more hops
by1pdd080	GM67	walks down stairs: alternating forward foot
by1pdd081	GM99	jumps over string 8 inches high
by2mdd001	REC1	Regards person momentarily
by2mdd002	COG1	Quiets when picked up
by2mdd003	REC5	Responds to voice
by2mdd004	COG2	Inspects surroundings
by2mdd005		Eyes follow moving person
by2mdd006	COG3	Regards ring for 3 seconds
by2mdd007	COG4	Habituates to rattle
by2mdd008	COG5	Discriminates between bell and rattle
by2mdd009		Searches with eyes for sound
by2mdd010		Vocalizes  Four times
by2mdd011	COG7	Becomes excited antic
by2mdd012		Adjusts in Anticipation of Being Lifted
by2mdd013	COG6	Recog caregiver
by2mdd014	EXP2	Smiles when examiner speaks
by2mdd015	FM3	Eyes follow ring horizontal
by2mdd016	FM4	Eyes follow ring vertical
by2mdd017	FM7	Eyes follow ring circular
by2mdd018	COG92	Eyes follow ring (Arc)
by2mdd019		Smiles when examiner smiles
by2mdd020	COG9	Reacts disappear face
by2mdd021	EXP5	vocalizes when examiner speaks
by2mdd022	EXP6	Vocalizes vowel sounds
by2mdd023	COG10	Glances bell to rattle
by2mdd024	FM8	Head follow ring
by2mdd025	COG8	Regards cube 3 sec
by2mdd026	COG14	Habituates vis stim
by2mdd027	COG15	Discriminates novel visual pattern
by2mdd028	COG11	Displays visual pref
by2mdd029		Prefers novelty
by2mdd030	REC6	Turn head to sound
by2mdd031	EXP3	Vocalizes attitude
by2mdd032	FM9	Eyes follow rolling ball
by2mdd033		Vocalizes when examiner smiles
by2mdd034	COG18	Inspects own hand
by2mdd035	COG16	Plays with rattle
by2mdd036		Eyes follow rod
by2mdd037		Manipulates ring
by2mdd038		Reaches for suspended ring
by2mdd039	FM12	Grasps suspended ring
by2mdd040	COG17	Carries ring to mouth
by2mdd041	COG19	Approaches mirror image
by2mdd042	FM13	Blocks series reaches for block
by2mdd043	COG21	Reaches persistently
by2mdd044		Uses eye-hand coordination in reaching
by2mdd045		Picks up cube
by2mdd046		Fixates on disappearance of ball for 2 seconds
by2mdd047	COG20	Displays awareness of novel surroundings
by2mdd048	COG23	Plays with string
by2mdd049		Smiles at mirror image
by2mdd050	COG22	Responds playfully to mirror image
by2mdd051		Regards pellet
by2mdd052	COG24	Bangs in play
by2mdd053	COG27	Reaches for second cube
by2mdd054	FM21	Transfers object from hand to hand
by2mdd055		Lifts inverted cup
by2mdd056	COG25	Looks for fallen spoon
by2mdd057		Picks up cube deftly
by2mdd058	COG30	Retains 2 cubes 3 sec
by2mdd059	COG26	Manipuates bell showing interest
by2mdd060		Attends to scribbling
by2mdd061		Vocalizes three different vowel sounds
by2mdd062	COG29	Pulls string adaptively
by2mdd063		Imitates vocalization
by2mdd064	EXP11	Participates in play routine
by2mdd065	COG33	Retains 2 cubes 3 sec
by2mdd066	COG31	Rings bell purposely
by2mdd067	FM25	Lifts cup by the handle
by2mdd068	EXP9	Uses gestures
by2mdd069	COG32	Looks at pics in book
by2mdd070	REC11	Listens selectively to 2 words
by2mdd071	EXP10	Consonant vowel combination 1 combination
by2mdd072	COG34	Looks for contents of box
by2mdd073	FM27	Turns pages of books
by2mdd074	COG36	Puts 1 cube in cup
by2mdd075	COG37	Attempts to secure 3 cubes
by2mdd076	EXP12	Jabbers expressively
by2mdd077	COG39	Pushes car
by2mdd078	EXP13	Consonant-Vowel Combination Series: 4 Combination
by2mdd079	COG38	Fingers holes in pegboard
by2mdd080	COG46	Removes lid from box
by2mdd081	REC14	Responds to spoken request
by2mdd082	COG41	Suspects ring by spring
by2mdd083	COG44	Pats toy in imitation
by2mdd084	COG40	Finds one object
by2mdd085	COG42	Removes pellet
by2mdd086		Puts three cubes in cup
by2mdd087	COG47	Places 1 peg repeatedly
by2mdd088	COG43	Retrieves toy - clear box 1
by2mdd089		Puts six beads in box
by2mdd090	COG51	Places 1 piece - blue
by2mdd091	FM30	Scribbles spontaneously
by2mdd092		Closes round container 
by2mdd093	COG49	Places circle pink
by2mdd094		Imitates word
by2mdd095	COG54	9 cubes in cup
by2mdd096	COG45	Finds toy under reversed cups
by2mdd097	FM31	Tower of 2 cubes
by2mdd098	COG55	Places pegs in 70 sec
by2mdd099		Points to two pictures
by2mdd100	EXP18	Uses Words Appropriately Series: 2 words
by2mdd101	REC16	Shows shoes other clothing or object
by2mdd102	COG50	Retrieves toy - visible displacement
by2mdd103	FM32	Imitates Stroke Series: Random
by2mdd104	COG57	Uses rod to attain toy
by2mdd105		Retrieves Toy (Clear BoxII)
by2mdd106	EXP19	Uses word to make wants known
by2mdd107	REC20	Follows direction doll
by2mdd108	REC24	Points to 3 body parts
by2mdd109	EXP22	Names Picture Series: 1 Picture
by2mdd110	EXP20	Names Object Series: 1 Object
by2mdd111	EXP21	Combines word and gesture
by2mdd112	COG58	Places 4 pieces in 150 sec
by2mdd113	EXP23	Says 8 words
by2mdd114	EXP26	Uses a two-word utterance
by2mdd115	COG56	Completes pink
by2mdd116	FM43	Differentiates scribble from stroke
by2mdd117	EXP25	Imitates a two-word utterance
by2mdd118		Identifies Objects in Photograph
by2mdd119	COG62	Completes pegboard 25 sec
by2mdd120	COG60	Completes reversed pink
by2mdd121	EXP30	Uses pronouns
by2mdd122		Points to Five Pictures
by2mdd123	FM38	Tower of 6 cubes
by2mdd124		Discriminates Book, Cube and Key
by2mdd125	COG64	Matches pictures
by2mdd126	EXP27	Names Object Series: 3 Object
by2mdd127	EXP29	Uses 3 word sentence
by2mdd128	COG68	Matches 3 colors
by2mdd129	EXP33	Makes a contingent utterance
by2mdd130	COG66	Blue board - 75 sec
by2mdd131	COG59	Attends to story
by2mdd132		Places Beads in Tube in 120 seconds
by2mdd133	EXP28	Names Picture Series: 5 Pictures
by2mdd134	EXP35	Displays verbal comprehension
by2mdd135		Builds Tower of Eight Cubes
by2mdd136	EXP32	Poses questions
by2mdd137		Matches Four Colours
by2mdd138		Builds train of cubes
by2mdd139		Imitates vertical and horizontal strokes
by2mdd140	REC32	Understands Preposition Series: 2 correct
by2mdd141	COG70	Understands concept of 1
by2mdd142		Produces multiple word utterances in response to picture book
by2mdd143		Recalls geometric forms
by2mdd144		Discriminates pictures I
by2mdd145	REC31	Compares sizes
by2mdd146		Counts (number names)
by2mdd147	COG74	Compares masses
by2mdd148	EXP47	Uses past tense
by2mdd149		Builds bridge
by2mdd150		Builds wall
by2mdd151	COG76	Discriminates pics
by2mdd152	COG90	Repeats 3 number sequences
by2mdd153	REC42	Understands Preposition Series: 4 correct
by2mdd154		Identifies gender
by2mdd155	EXP41	Names 4 colours
by2mdd156	COG89	Understands concept of more
by2mdd157	COG79	Counts 1-1 correspondence
by2mdd161	COG83	Discriminates patterns
by2mdd162	COG78	Sorts pegs by colors
by2mdd163	COG80	Discriminates size
by2mdd164	COG85	Counts cardinally
by2mdd166	COG81	Identifies 3 incomplete pics
by2mdd168	COG91	Completes patterns
by2mdd174	COG88	Classifies objects
by2mdd175	COG86	Counts order invariance
by2pdd001	GM2	Thrusts arms in play
by2pdd002	GM1	Thrusts legs in play
by2pdd003	GM3	Controls head, lifts head
by2pdd004	GM4	Controls head, 3 seconds
by2pdd006	FM1	Hands are fisted
by2pdd007	GM9	Holds erect and steady for 15 seconds
by2pdd008	GM7	Lifts head, dorsal suspension
by2pdd010	GM6	Makes crawling movements
by2pdd011	GM14	Rolls from side to back
by2pdd012	FM5	Attempts to bring hand to mouth
by2pdd013	FM6	Retains ring
by2pdd014	GM8	Adjusts head to ventral suspention
by2pdd015	GM11	Holds head steady while being moved
by2pdd016		Displays symetric movements 
by2pdd017	GM10	Holds head in midline
by2pdd018	GM15	Elevates self by arms
by2pdd019	GM13	Balances head
by2pdd020	GM12	Maintains head at 45 degrees and lowers with control
by2pdd021	GM16	Sits with support
by2pdd022	GM19	Sits with Support: 10 seconds
by2pdd023	FM10	Keeps hand open
by2pdd024	GM17	Maintains at 90 degrees and lowers with control
by2pdd025	GM18	Shifts weight on arms
by2pdd026	GM20	Turns from back to side
by2pdd027	FM11	Rotates wrist
by2pdd028	GM22	Sits alone momentarily
by2pdd029	GM155	Uses whole hand to grasp rod
by2pdd030	FM16	Reaches unilaterally
by2pdd031	FM18	Block Series: Partial thumb opposition
by2pdd032		Attempts to secure pellet
by2pdd033	GM23	Pulls to sitting position
by2pdd034	GM26	Sits alone for 30 seconds
by2pdd035	GM27	Sits alone while playing with a toy
by2pdd036		Sits alone steadily
by2pdd037		Uses pads of fingertips to grasp cube
by2pdd038	GM25	Rolls from back to stomach
by2pdd039	GM24	Grasps foot with hands
by2pdd040	GM29	Makes early stepping movements
by2pdd041	FM20	Food Pellet Series: Whole hand grasp
by2pdd042		Attempts to raise self to sit
by2pdd043	GM34	Crawls Series: Crawl Movement
by2pdd044	GM33	Supports weight momentarily
by2pdd045		Pulls to standing position
by2pdd046		Shifts weight while standing
by2pdd047		Raises self to sitting position
by2pdd048	FM23	Brings spoons or blocks to midline
by2pdd049	FM24	Food Pellet Series: Partial thumb opposition
by2pdd050		Rotates trunk while sitting alone
by2pdd051	GM32	Moves from sitting to creeping position
by2pdd052	GM35	Raises self to standing position
by2pdd053	GM37	Attempts to walk
by2pdd054	GM38	Walks sideways while holding on to furniture
by2pdd055	GM39	Sits down
by2pdd056	FM26	Food Pellet Series: Thumb-fingertip grasp
by2pdd057		Uses partial thumb opposition to graps rod
by2pdd058		Grasp pencil of farthest end
by2pdd059	GM41	Stands up 1
by2pdd060		Walks with help
by2pdd061	GM40	Stands alone
by2pdd062	GM42	Walks alone
by2pdd063	GM43	Walks alone with good coordination
by2pdd064	GM44	Throws ball
by2pdd065	GM45	Squats briefly
by2pdd066	GM47	Walks up stairs with help
by2pdd067	GM48	Walks backwards
by2pdd068	GM46	Stands up II
by2pdd069	GM49	Walks down stairs with help
by2pdd070		Grasp pencil at Middle
by2pdd071	GM53	Walks sideways  
by2pdd072	GM51	Stands on right foot with help
by2pdd073	GM52	Stands on left foot with help
by2pdd074	FM37	Uses pads of fingertips to grasp pencil
by2pdd075	FM39	Uses hand to hold paper in place
by2pdd076	FM33	Places 10 pellets in bottle (60 seconds)
by2pdd077	GM50	Runs with coordination
by2pdd078		Jumps off floor (both feet)
by2pdd079	GM57	Walks up stairs alone, placing both feet on each step
by2pdd080	GM58	Walks down stairs alone, placing both feet on each step
by2pdd081	GM54	Jumps from bottom step
by2pdd082	GM60	Stands alone on right foot
by2pdd083	GM61	Stands alone on left foot
by2pdd084	GM56	Walks forward on line
by2pdd085	GM63	Walks backwards close to line
by2pdd086	GM55	Swings leg to kick ball
by2pdd087	GM59	Jumps distance of 4 inches
by2pdd088	FM45	Laces 3 beads
by2pdd089	GM62	Walks on tiptoe for 4 steps
by2pdd090		Grasps pencil at nearest end
by2pdd091	FM46	Imitates hand movements
by2pdd092	FM49	Tactilely discriminates shapes
by2pdd093		Manipulates pencil in hand
by2pdd094		Stands up III
by2pdd095	GM64	Walks upstairs alternating feet
by2pdd096		Copies circle
by2pdd097		Uses eye-hand coordination in tossing ring
by2pdd098	GM65	Imitates postures
by2pdd099		Walks on tiptoe for 9 feet
by2pdd100	GM66	Stops from a full run
by2pdd101	FM57	Buttons 1 button
by2pdd102	GM70	Stands alone on left foot for 4 seconds
by2pdd103	GM69	Stands alone on right foot for 4 seconds
by2pdd104	FM53	Copies plus
by2pdd105	FM59	Traces designs
by2pdd106		Jumps over rope
by2pdd107		Hops twice on one foot
by2pdd108	GM67	Walks down stairs alternating feet
by2pdd109	GM72	Jumps distance of 24 inches
by2pdd110	GM68	Hops 5 feet
by2pdd111	FM60	Copies square
by3cgd001	COG1	Calms when picked up
by3cgd002	COG2	Responds to surroundings: inspects
by3cgd003	COG3	Regards 3 sec
by3cgd004	COG4	Habituates rattle
by3cgd005	COG5	Discriminates between obj
by3cgd006	COG6	Recog caregiver
by3cgd007	COG7	Becomes excited antic
by3cgd008	COG8	Regards object 5 sec
by3cgd009	COG9	Reacts disappear face
by3cgd010	COG10	Shifts attention
by3cgd011	COG11	Shows visual pref
by3cgd012	COG12	Habituates to object
by3cgd013	COG13	Prefers novel obj
by3cgd014	COG14	Habituates pict - balloons
by3cgd015	COG15	Prefers novel pict
by3cgd016	COG16	Explores object
by3cgd017	COG17	Carries object to mouth
by3cgd018	COG18	Inspects own hand
by3cgd019	COG19	Mirror Image Series: Approaches
by3cgd020	COG20	Responds to surroundings; awareness of novelty
by3cgd021	COG21	Persistent reach
by3cgd022	COG22	Mirror Image Series: Responds positively
by3cgd023	COG23	Plays with string
by3cgd024	COG24	Bangs in play
by3cgd025	COG25	Searches for fallen object
by3cgd026	COG26	Bell Series: Manipulates
by3cgd027	COG27	Picks Up Block Series: Reaches for second block
by3cgd028	COG28	Pulls cloth to obtain object
by3cgd029	COG29	Pulls string adaptively
by3cgd030	COG30	Retains both blocks
by3cgd031	COG31	Bell Series: Rings purposely
by3cgd032	COG32	Looks at pictures
by3cgd033	COG33	Picks Up Block Series: Retains 2 of 3 blocks
by3cgd034	COG34	Searches for missing objects
by3cgd035	COG35	Takes blocks out of cup
by3cgd036	COG36	Block Series: 1 Block
by3cgd037	COG37	Picks up Block Series: 3 blocks
by3cgd038	COG38	Explores holes in pegboard
by3cgd039	COG39	Pushes car
by3cgd040	COG40	Finds hidden object
by3cgd041	COG41	Suspends ring
by3cgd042	COG42	Removes pellet
by3cgd043	COG43	Clear Box: Front
by3cgd044	COG44	Squeezes object
by3cgd045	COG45	Finds hidden object (Reversed)
by3cgd046	COG46	Removes lid from bottle
by3cgd047	COG47	Pegboard Series: 2 holes
by3cgd048	COG48	Relational Play Series: Self
by3cgd049	COG49	Pink Board Series: 1 piece
by3cgd050	COG50	Finds hidden object (Visible Displacement)
by3cgd051	COG51	Blue Board Series: 1 piece
by3cgd052	COG52	Clear Box: Sides
by3cgd053	COG53	Relational Play Series: Others
by3cgd054	COG54	Block Series: 9 Blocks
by3cgd055	COG55	Pegboard Series: 6 Pegs
by3cgd056	COG56	Pink Board Series: Completes
by3cgd057	COG57	Uses pencil to obtain object
by3cgd058	COG58	Blue Board Series: 4 Pieces
by3cgd059	COG59	Attends to story
by3cgd060	COG60	Rotated pink board
by3cgd061	COG61	Object assembly (Ball)
by3cgd062	COG62	Completes Pegboard: 25 Seconds
by3cgd063	COG63	Object assembly (Ice Cream Cone)
by3cgd064	COG64	Matches pictures
by3cgd065	COG65	Representational play
by3cgd066	COG66	Blue Board Series: Completes (75 seconds)
by3cgd067	COG67	Imitates a two-step action.
