item	instrument	domain	mode	number	equate	label
aqislc025	aqi	sl	c	025		Does your child push a little wagon, stroller or other toy on wheels, steering it around objects and backing out of corners if he cannot turn?
aqislc026	aqi	sl	c	026		Does your baby/child feed herself with a spoon, even though she may spill some food?
aqislc027	aqi	sl	c	027		Does your baby/child get your attention or try to show you something by pulling on your hand or clothes?
aqislc028	aqi	sl	c	028		Does your child come to you when she needs help, such as with winding up a toy or unscrewing a lid from a jar?
aqislc029	aqi	sl	c	029		Does your child use a spoon to feed himself with little spilling?
aqislc030	aqi	sl	c	030		Does your child drink from a cup or glass, putting it down again with little spilling?
aqislc031	aqi	sl	c	031		If you do any of the following gestures, does your child copy at least one of them?  a. Open and close your mouth. b. Blink your eyes. c. Pull on your earlobe. d. Pat your cheek
aqislc032	aqi	sl	c	032		Does your baby/child help undress himself by taking off clothes like socks, hat, shoes, or mittens?
aqislc033	aqi	sl	c	033		Does your child eat with a fork?
aqislc034	aqi	sl	c	034		Does your child take turns by waiting while another child or adult takes a turn?
aqislc035	aqi	sl	c	035		When playing with either a stuffed animal or doll, does your child pretend to rock it, feed it, change its diapers, put it to bed, and so forth?
aqislc036	aqi	sl	c	036		When your child is looking in a mirror and you ask, "Who is in the mirror?" does he say either "me" or his own name?
aqislc037	aqi	sl	c	037		While looking at himself in the mirror, does your child offer a toy to his own image?
aqislc038	aqi	sl	c	038		After you put on loose-fitting pants around her feet, does your child pull them completely up to her waist?
aqislc039	aqi	sl	c	039		Does your child call herself "I" or "me" more often than her own name? For example, "I do it," more often than "Juanita do it."
aqislc041	aqi	sl	c	041		Using these exact words, ask your child, "Are you a girl or a boy?" Does your child answer correctly?
aqislc048	aqi	sl	c	048		Does your child put on a coat, jacket, or shirt by himself?
aqislc053	aqi	sl	c	053		Does your child serve herself, taking food from one container to another using utensils? For example, does your child use a large spoon to scoop applesauce from a jar into a bowl?
barxxx001	bar	xx	x	001	EXP2	Smiles in response to an adult or his/her voice
barxxx002	bar	xx	x	002	EXP5	Makes sounds spontaneously or in response to a stimulus
barxxx003	bar	xx	x	003	GM23	Has head control while being pulled to stand upright
barxxx004	bar	xx	x	004	FM12	Holds a toy with one or both hands when it is presented 
barxxx005	bar	xx	x	005	GM25	Rolls from back to stomach
barxxx006	bar	xx	x	006	GM26	Sits without support for some time
barxxx007	bar	xx	x	007	GM31	Starting to crawl
barxxx008	bar	xx	x	008	FM26	Grasps with fingertip to to take small objects
barxxx009	bar	xx	x	009	GM35	Stands up when being pulled
barxxx010	bar	xx	x	010	GM37	Walks with support, holding on to a railing, furniture or adult
barxxx011	bar	xx	x	011	GM40	Stands for "some moments"
barxxx012	bar	xx	x	012	GM42	Walks alone with "some steps"
barxxx013	bar	xx	x	013		Drinks well from a cup or glass
barxxx014	bar	xx	x	014	EXP23	Says more than 5 words
barxxx015	bar	xx	x	015	GM54	Jumps in place
barxxx016	bar	xx	x	016		Washes and dries hands
barxxx017	bar	xx	x	017		Says his full name
barxxx018	bar	xx	x	018	FM43	Copies a circle
barxxx019	bar	xx	x	019	GM60	Balances on one foot for more than 5 seconds
barxxx020	bar	xx	x	020		Bowel and bladder control
barxxx021	bar	xx	x	021	FM66	Copies a square well
barxxx022	bar	xx	x	022	COG68	Recognizes 4 colors
batadd001	bat	ad	d	001		Takes strained food from spoon and swallows it (TS21)
batadd002	bat	ad	d	002		Attends to ongoing sound or activity for 15 or more seconds (TS22)
batadd003	bat	ad	d	003		Place both hands on a bottle or breast during feeding (TS23)
batadd004	bat	ad	d	004		Eats semisolid food when it is placed in his or her mouth (TS24)
batadd005	bat	ad	d	005		Begins to use spoon or other utensil to feed self (TS25)
batadd006	bat	ad	d	006		Removes small articles of clothing without assistance (TS26)
batadd007	bat	ad	d	007		Distinguishes between food substances and non-food substances (TS27)
batadd008	bat	ad	d	008		Removes simple garment such as jacket, shorts, or shirt without assistance (TS28
batadd009	bat	ad	d	009		Expresses need to go to bathroom (TS29)
batadd010	bat	ad	d	010		Obtains drink from tap or other source without assistance (TS30)
batadd011	bat	ad	d	011		Sucks with smooth, coordinated movements
batadd012	bat	ad	d	012		Helps dress self by holding out his/her arms or legs
batadd013	bat	ad	d	013		Asks for foor or liquid with words or gestures
batadd014	bat	ad	d	014		Removes shoes without assistance
batadd015	bat	ad	d	015		Feeds self with a spoon or fork without assistance
batadd016	bat	ad	d	016		Puts away toys when asked
batadd017	bat	ad	d	017		Blows his/her nose with assistance
batadd018	bat	ad	d	018		Washes and dries hands without assistance
batadd019	bat	ad	d	019		Chooses the appropriate ustensil for the food he/she is eating
batadd020	bat	ad	d	020		Responds to instructions given in a small group and initiates an appropriate task without being reminded
batadd021	bat	ad	d	021		Cuts soft foods with the side of a fork
batadd022	bat	ad	d	022		Answers "what-to-do-if" questions involving personal responsibility
batadd023	bat	ad	d	023		Chooses clothing that is approprate for the weather
batadd024	bat	ad	d	024		Knows his/her own phone number
batadd025	bat	ad	d	025		Goes to bed without assistance
batadd026	bat	ad	d	026		Uses emergency phone numbers
batcgd001	bat	cg	d	001	COG175	Follows visual stimulus (TS 79)
batcgd002	bat	cg	d	002	COG16	Feels and explore objects (TS 8)
batcgd003	bat	cg	d	003	COG176	Uncovers hidden toy (TS 81)
batcgd004	bat	cg	d	004	COG25	Searches for removed object (TS 82)
batcgd005	bat	cg	d	005	COG177	Reaches around barrier to obtain toy (TS 83)
batcgd006	bat	cg	d	006	COG22	Recognizes self as cause of events or happenings (TS 84)
batcgd007	bat	cg	d	007	COG56	Matches circle, square and triangle (TS 85)
batcgd008	bat	cg	d	008	COG178	Repeats two-digits sequences (TS 86)
batcgd009	bat	cg	d	009	COG179	Visually attends to a light source moving in a 180-degree arc
batcgd010	bat	cg	d	010	COG180	Turns eyes towards a light source
batcgd011	bat	cg	d	011	COG181	Attends to an ongoing sound or activity for 15 or more seconds
batcgd012	bat	cg	d	012	COG182	Attends to a game of pekaboo for 1 min
batcgd013	bat	cg	d	013	COG32	Looks at, points to, or touches pictures in a book
batcgd014	bat	cg	d	014	COG183	Imitates simple facial gestures
batcgd015	bat	cg	d	015	COG45	Finds an object hidden under one of two cups
batcgd016	bat	cg	d	016	COG184	Nests objects inside one another
batcgd017	bat	cg	d	017	COG185	Locates hidden items in a picture scene - Level 1
batcgd018	bat	cg	d	018		Names the colores red, green, and blue
batcgd019	bat	cg	d	019	COG186	Locates hidden items in a picture scene - Level 2
batcgd020	bat	cg	d	020	COG83	Recognises visual differences among similar numerals and letters
batcgd021	bat	cg	d	021	COG88	Identifies the picture that is different
batcgd022	bat	cg	d	022	COG187	Categorises familiar objects by function
batcgd023	bat	cg	d	023	COG188	Matches simple words
batcgd024	bat	cg	d	024	COG189	Knows the right and left sides of his/her body
batcgd025	bat	cg	d	025	COG190	Repeats sequences of 4 and 5 objects from memory
batcgd026	bat	cg	d	026	COG191	Groups objects by shape and color
batcmd001	bat	cm	d	001	REC6	Turns head toward source of sound outside field of vision (TS 61)
batcmd002	bat	cm	d	002	EXP3	Vocalizes sound to express feelings (TS 62)
batcmd003	bat	cm	d	003	REC11	Associates spoken words with familiar objects or actions(TS 63)
batcmd004	bat	cm	d	004	EXP8	Produces one or more single-syllable consonant-vowel sounds (TS 64)
batcmd005	bat	cm	d	005	REC69	Responds to simultaneous verbal and gestural commands (TS 65)
batcmd006	bat	cm	d	006	EXP23	Uses 1 or more words (TS 66)
batcmd007	bat	cm	d	007	REC42	Responds to prepositions in, out, on, in front of, toward, and behind (TS 67)
batcmd008	bat	cm	d	008	EXP30	Uses pronouns I, you and me TS 68)
batcmd009	bat	cm	d	009	REC3	Is soothed by a familiar adult's voice
batcmd010	bat	cm	d	010	EXP98	Produces differenciated cries
batcmd011	bat	cm	d	011	REC12	Responds to different tones of a person's voice
batcmd012	bat	cm	d	012	REC70	Identifies family members or pets when named
batcmd013	bat	cm	d	013	EXP12	Uses variations in his/her voice
batcmd014	bat	cm	d	014	REC14	Follows 3 or more familiar verbal commands
batcmd015	bat	cm	d	015	EXP99	Spontaneously initiates sounds, words, or gesturres that are associated with objects in the immediate environment
batcmd016	bat	cm	d	016	REC32	Responds to the prepositions out and on
batcmd017	bat	cm	d	017	EXP26	Uses 2-words utterances to express meaningful relationships
batcmd018	bat	cm	d	018	REC71	Responds to who and what questions
batcmd019	bat	cm	d	019	EXP100	Uses words to relate information about other people, their actions, or their experiences
batcmd020	bat	cm	d	020	REC72	Responds to where and when questions
batcmd021	bat	cm	d	021	EXP101	Repeats familiar words with clear articulation
batcmd022	bat	cm	d	022	EXP102	Converses on topics for more than 5 turn-taking exchanges
batcmd023	bat	cm	d	023	REC73	Identifies a word from its definition
batcmd024	bat	cm	d	024	REC74	Follows 3-step verbal commands
batcmd025	bat	cm	d	025	EXP38	Uses plural forms ending in the /ez/ sound
batcmd026	bat	cm	d	026	EXP103	Recalls events from a sotry presented orally
batcmd027	bat	cm	d	027	EXP46	Describes what is happening in a picture
batmod001	bat	mo	d	001	FM138	Moves object held in hand to mouth (TS 41)
batmod002	bat	mo	d	002	FM12	Reaches for objects placed before him/her and touches it (TS 42)
batmod003	bat	mo	d	003	GM34	Moves three or more feet by crawling (TS 43)
batmod004	bat	mo	d	004	FM24	Picks up raisin with several fingers opposed to thumb (partial finger prehension
batmod005	bat	mo	d	005	GM47	Walks up four steps with support (TS 45)
batmod006	bat	mo	d	006	FM26	Picks up raisin with ends of thumb and index finger in overhand approach
batmod007	bat	mo	d	007	GM58	Walks up and down stairs without assistance, placing both feet on each step
batmod008	bat	mo	d	008	FM139	Places four ring on post in any order (TS 48)
batmod009	bat	mo	d	009	GM158	Jumps forward with both feet together (TS49)
batmod010	bat	mo	d	010	FM140	Opens door by turning knob(TS 50)
batmod011	bat	mo	d	011	GM159	Mantains an upright posture at adult's shoulder without assistance for at least 2 min
batmod012	bat	mo	d	012	FM10	Holds hands in an open, loose-fisted position when not grasping an object
batmod013	bat	mo	d	013	FM17	Retrieves a small object by raking it with his/her fingers and pulling it into the palm of the hand
batmod014	bat	mo	d	014	FM21	Transfers an object from one hand to the other
batmod015	bat	mo	d	015	GM160	Moves from a sitting position to a standing position without support
batmod016	bat	mo	d	016	GM44	Intentionally propels or throws an object
batmod017	bat	mo	d	017	GM161	Maintains or corrects his/her balance when moving from a standing position to other, nonvertical positions
batmod018	bat	mo	d	018	FM141	Removes forms from a form board
batmod019	bat	mo	d	019	GM50	Runs 1 feet without falling
batmod020	bat	mo	d	020	FM30	Scribbles linear and/or circular patterns spontaneously
batmod021	bat	mo	d	021	GM162	Walks forward 2 or more steps on a line on the floor, alternating feet
batmod022	bat	mo	d	022	FM38	Stacks 8 cubes vertically
batmod023	bat	mo	d	023	GM68	Hops forward on one foot without support
batmod024	bat	mo	d	024	FM142	Folds a sheet of paper
batmod025	bat	mo	d	025	FM143	Touches the fingertips of each hand successively with the thumb of the same hand
batmod026	bat	mo	d	026	FM144	Draws a person with 6 parts
batmod027	bat	mo	d	027	GM71	Walks a 6-foot line on the floor, heel-to-toe, with eyes open
batmod028	bat	mo	d	028	FM145	Copies the numerals 1 through 5
batmod029	bat	mo	d	029	GM163	Skips on alternate feet for 20 feet
batmod030	bat	mo	d	030	FM146	Ties a single overhand knot around a crayon with a string
batsld001	bat	sl	d	001		Shows awareness of his/her hands (TS1)
batsld002	bat	sl	d	002		Shows desire to be picked up or held by familiar persons (TS2)
batsld003	bat	sl	d	003		Plays peekaboo(TS3)
batsld004	bat	sl	d	004	REC9	Responds to his/her name (TS4)
batsld005	bat	sl	d	005		Initiates social contact with peers in play (TS5)
batsld006	bat	sl	d	006		Imitates another child or children at play(TS6)
batsld007	bat	sl	d	007	REC13	Generally follows directions related to daily routine (TS7)
batsld008	bat	sl	d	008		Plays independently in company of peers (TS8)
batsld009	bat	sl	d	009		Knows his/her first name (TS9)
batsld010	bat	sl	d	010		Uses pronoun or his/her name to refer to self (TS10)
batsld011	bat	sl	d	011		Shows awareness of other people
batsld012	bat	sl	d	012		Smiles or vocalizes in response to adult attention
batsld013	bat	sl	d	013		Shows a desire for social attention
batsld014	bat	sl	d	014		Is aware of his/her feet
batsld015	bat	sl	d	015		Discriminates between familiar and unfamiliar people
batsld016	bat	sl	d	016		Displays independent behavior
batsld017	bat	sl	d	017		Greets familiar adults spontaneously
batsld018	bat	sl	d	018		Responds positively when familiar adults or adults in authority initiate social contact
batsld019	bat	sl	d	019		Responds differently to familiar and unfamiliar children
batsld020	bat	sl	d	020		Allow others to participate in his/her activities
batsld021	bat	sl	d	021		Engages in adult role-playing and imitation
batsld022	bat	sl	d	022		Follows adult directions with little or no resistance
batsld023	bat	sl	d	023		Recognizes an adult's feelings
batsld024	bat	sl	d	024		Cooperates in group activities
batsld025	bat	sl	d	025		Discriminates between socially acceptable and unacceptable behavior
batsld026	bat	sl	d	026		Trusts familiar adults and accepts explanations from them
batsld027	bat	sl	d	027		Waits his/her turn for a teacher's or adult's attention
batsld028	bat	sl	d	028		Delays gratification until a task is completed
by1mdd037	by1	md	d	037		Reaches for dangling ring
by1mdd038	by1	md	d	038		Pushes car along
by1mdd039	by1	md	d	039		Fingers hand in play
by1mdd040	by1	md	d	040		Head follows dangling ring
by1mdd041	by1	md	d	041		Head follows vanishing spoon
by1mdd042	by1	md	d	042		Aware of strange situation
by1mdd043	by1	md	d	043		Manipulates table edge slightly
by1mdd044	by1	md	d	044	COG17	Carries ring to mouth
by1mdd045	by1	md	d	045	COG18	inspects own hand
by1mdd046	by1	md	d	046		Closes on dangling ring (check hand preference)
by1mdd047	by1	md	d	047	REC6	turns head to sound of bell
by1mdd048	by1	md	d	048	REC52	turns head to sound of rattle
by1mdd049	by1	md	d	049	COG21	reaches for cube
by1mdd050	by1	md	d	050		manipulates table edge actively
by1mdd051	by1	md	d	051		eye-hand coordination in reaching
by1mdd052	by1	md	d	052		regards pellet
by1mdd053	by1	md	d	053	COG19	mirror image approach
by1mdd054	by1	md	d	054		picks up cube (check hand preference)
by1mdd055	by1	md	d	055		Vocalises attitudes
by1mdd056	by1	md	d	056	COG30	retains 2 cubes
by1mdd057	by1	md	d	057		exploitive paper play
by1mdd058	by1	md	d	058		Discriminates strangers
by1mdd059	by1	md	d	059		recovers rattle, in crib
by1mdd060	by1	md	d	060		reaches persistently
by1mdd061	by1	md	d	061		Likes frolic play
by1mdd062	by1	md	d	062		turns head after fallen spoon
by1mdd063	by1	md	d	063		lifts inverted cup
by1mdd064	by1	md	d	064	COG27	reaches for second cube
by1mdd065	by1	md	d	065	COG93	smiles at mirror (5.4 months)
by1mdd066	by1	md	d	066	COG24	bangs in play
by1mdd067	by1	md	d	067	COG95	sustained inspection of ring
by1mdd068	by1	md	d	068	COG23	exploitive string play
by1mdd069	by1	md	d	069	FM21	transfers objects hand to hand
by1mdd070	by1	md	d	070	FM67	picks up cube deftly and directly
by1mdd071	by1	md	d	071	COG96	pulls string: secures ring
by1mdd072	by1	md	d	072	REC51	interest in sound production
by1mdd073	by1	md	d	073	FM25	lifts cup with handle
by1mdd074	by1	md	d	074	FM68	attends to scribbling
by1mdd075	by1	md	d	075	COG25	looks for fallen spoon
by1mdd076	by1	md	d	076	COG22	playful response to mirror
by1mdd077	by1	md	d	077	COG33	retains 2 of 3 cubes offered
by1mdd078	by1	md	d	078	COG26	manipulates bell: insterest in details
by1mdd079	by1	md	d	079	EXP49	vocalizes 4 different syllables
by1mdd080	by1	md	d	080	COG29	pulls string adaptively: secures ring
by1mdd081	by1	md	d	081	COG99	cooperates in games (is this some other scale?)
by1mdd082	by1	md	d	082	COG37	attempts to secure 3 cubes
by1mdd083	by1	md	d	083	COG31	rings bell purposely
by1mdd084	by1	md	d	084	REC11	listens selectively with familiar words
by1mdd085	by1	md	d	085	EXP10	says "da-da" or equivalent
by1mdd086	by1	md	d	086	COG28	Uncovers toy (check manual if by pulling cloth
by1mdd087	by1	md	d	087	COG38	fingers holes in pegboard
by1mdd088	by1	md	d	088	COG100	picks up cup, secures cube
by1mdd089	by1	md	d	089	REC14	responds to verbal request
by1mdd090	by1	md	d	090	COG36	puts cube in cup on command
by1mdd091	by1	md	d	091	COG101	looks for content of box
by1mdd092	by1	md	d	092		stirs with spoon in imitation
by1mdd093	by1	md	d	093	COG32	looks at pictures in book
by1mdd094	by1	md	d	094	REC12	inhibits on command
by1mdd095	by1	md	d	095	FM69	attempting to imitate scribble
by1mdd096	by1	md	d	096	COG102	unwraps cube
by1mdd097	by1	md	d	097		repeats performance laughed at
by1mdd098	by1	md	d	098	FM28	holds crayon adaptively
by1mdd099	by1	md	d	099	COG39	pushes car along
by1mdd100	by1	md	d	100	COG103	puts 3 or more cubes in cup
by1mdd101	by1	md	d	101	EXP12	jabbers expressively
by1mdd102	by1	md	d	102	COG104	uncovers blue box
by1mdd103	by1	md	d	103	FM27	turns pages of books
by1mdd104	by1	md	d	104	COG44	Pats toy (whistle doll) in imitation
by1mdd105	by1	md	d	105	COG41	dangles ring by string
by1mdd106	by1	md	d	106	EXP16	imitates words
by1mdd107	by1	md	d	107	FM70	puts beads in box (6 of 8)
by1mdd108	by1	md	d	108	COG47	places 1 peg repeateadly
by1mdd109	by1	md	d	109	COG42	removes pellet from bottle
by1mdd110	by1	md	d	110	COG51	blue board: places 1 round block
by1mdd111	by1	md	d	111	FM31	builds tower of 2 cubes
by1mdd112	by1	md	d	112	FM30	scribbles sponstaneously
by1mdd113	by1	md	d	113	EXP18	says 2 words
by1mdd114	by1	md	d	114	COG54	puts 9 cubes in cup
by1mdd115	by1	md	d	115	FM71	closes round box
by1mdd116	by1	md	d	116	EXP9	uses gestures to  make wants known
by1mdd117	by1	md	d	117	REC16	shows shoes or other clothing, or own toy
by1mdd118	by1	md	d	118	COG55	pegs placed in 70 seconds
by1mdd119	by1	md	d	119	FM72	builds tower of 3 cubes
by1mdd120	by1	md	d	120	COG49	pink board: places round block
by1mdd121	by1	md	d	121	COG110	blue board: places 2 round blocks
by1mdd122	by1	md	d	122	COG57	attains toy with stick
by1mdd123	by1	md	d	123	COG112	pegs placed in 42 seconds
by1mdd124	by1	md	d	124	EXP20	names 1 object
by1mdd125	by1	md	d	125	FM32	imitates crayon stroke
by1mdd126	by1	md	d	126	REC20	follows directions doll (check parts passed)
by1mdd127	by1	md	d	127	EXP19	uses words to  make wants known
by1mdd128	by1	md	d	128	REC24	points to parts of doll (check parts recognised, check manual number of parts)
by1mdd129	by1	md	d	129	COG58	blue board: places 2 round and 2 square blocks
by1mdd130	by1	md	d	130	EXP22	names 1 picture
by1mdd131	by1	md	d	131	COG105	finds 2 objects
by1mdd132	by1	md	d	132	REC21	points to 3 pictures
by1mdd133	by1	md	d	133		No label:  b1m133
by1mdd134	by1	md	d	134	COG113	pegs placed in 30 seconds
by1mdd135	by1	md	d	135	FM73	differentiates scribble from stroke
by1mdd136	by1	md	d	136	EXP26	sentence of 2 words
by1mdd137	by1	md	d	137	COG56	pink board: completes
by1mdd138	by1	md	d	138	EXP50	names 2 objects
by1mdd139	by1	md	d	139	REC53	points to 5 pictures
by1mdd140	by1	md	d	140	COG106	broken doll: mends approximately
by1mdd141	by1	md	d	141	EXP51	names 3 pictures
by1mdd142	by1	md	d	142	COG111	blue board: places 6 blocks
by1mdd143	by1	md	d	143	FM38	builds tower of 6 cubes
by1mdd144	by1	md	d	144	COG107	discriminates 2: cup, plate, box
by1mdd145	by1	md	d	145	EXP52	names watch, 4th picture
by1mdd146	by1	md	d	146	EXP27	names 3 objects
by1mdd147	by1	md	d	147	FM41	imitates strokes: vertical and horizontal
by1mdd148	by1	md	d	148	REC54	points to 7 pictures
by1mdd149	by1	md	d	149	EXP28	names 5 pictures
by1mdd150	by1	md	d	150	EXP53	names watch, 2nd picture
by1mdd151	by1	md	d	151	COG60	pink board: reverse
by1mdd152	by1	md	d	152	COG108	discriminates 3: cup, plate, box
by1mdd153	by1	md	d	153	COG109	broken doll: mends exactly
by1pdd016	by1	pd	d	016		Ulnar-palmar prehension
by1pdd017	by1	pd	d	017	GM16	Sits with slight support
by1pdd018	by1	pd	d	018	GM13	Head balanced
by1pdd019	by1	pd	d	019	GM20	Turns from back to side
by1pdd020	by1	pd	d	020	GM81	Lifts head, dorsal position
by1pdd021	by1	pd	d	021		Partial thumb opposition
by1pdd022	by1	pd	d	022	GM23	Pulls to sitting
by1pdd023	by1	pd	d	023	GM22	Sits momentarily
by1pdd024	by1	pd	d	024		Unilateral reaching
by1pdd025	by1	pd	d	025		Attempts to secure pellet
by1pdd026	by1	pd	d	026		Rotates wrist
by1pdd027	by1	pd	d	027	GM26	Sits alone 30 seconds
by1pdd028	by1	pd	d	028	GM25	Rolls from back to stomach
by1pdd029	by1	pd	d	029	GM82	Sits steadily
by1pdd030	by1	pd	d	030		Scoops pellet
by1pdd031	by1	pd	d	031	GM27	Sits good coordination
by1pdd032	by1	pd	d	032		Complete thumb opposition
by1pdd033	by1	pd	d	033	GM30	Prewalking
by1pdd034	by1	pd	d	034	GM29	Early stepping movements
by1pdd035	by1	pd	d	035		Partial finger prehension
by1pdd036	by1	pd	d	036	GM83	Pulls to stand
by1pdd037	by1	pd	d	037	GM84	Raise self to sitting
by1pdd038	by1	pd	d	038	GM35	Stands up by furniture
by1pdd039	by1	pd	d	039		Combine midline
by1pdd040	by1	pd	d	040	GM85	Stepping movements
by1pdd041	by1	pd	d	041		Fine prehension
by1pdd042	by1	pd	d	042	GM37	Walks with help
by1pdd043	by1	pd	d	043	GM39	Sits down
by1pdd044	by1	pd	d	044	GM86	Play clap hands
by1pdd045	by1	pd	d	045	GM40	Stands alone
by1pdd046	by1	pd	d	046	GM42	Walks alone
by1pdd047	by1	pd	d	047	GM41	Stands up
by1pdd048	by1	pd	d	048	GM44	Throws ball
by1pdd049	by1	pd	d	049	GM38	Walsk sideways
by1pdd050	by1	pd	d	050	GM48	Walks backwards
by1pdd051	by1	pd	d	051	GM51	Stands on right foot with help
by1pdd052	by1	pd	d	052	GM52	Stands on left foot with help
by1pdd053	by1	pd	d	053	GM47	Walsk up stairs with help
by1pdd054	by1	pd	d	054	GM49	Walks down stairs with help
by2mdd071	by2	md	d	071	EXP10	Consonant vowel combination 1 combination
by2mdd072	by2	md	d	072	COG34	Looks for contents of box
by2mdd073	by2	md	d	073	FM27	Turns pages of books
by2mdd074	by2	md	d	074	COG36	Puts 1 cube in cup
by2mdd075	by2	md	d	075	COG37	Attempts to secure 3 cubes
by2mdd076	by2	md	d	076	EXP12	Jabbers expressively
by2mdd077	by2	md	d	077	COG39	Pushes car
by2mdd078	by2	md	d	078	EXP13	Consonant-Vowel Combination Series: 4 Combination
by2mdd079	by2	md	d	079	COG38	Fingers holes in pegboard
by2mdd080	by2	md	d	080	COG46	Removes lid from box
by2mdd081	by2	md	d	081	REC14	Responds to spoken request
by2mdd082	by2	md	d	082	COG41	Suspects ring by spring
by2mdd083	by2	md	d	083	COG44	Pats toy in imitation
by2mdd084	by2	md	d	084	COG40	Finds one object
by2mdd085	by2	md	d	085	COG42	Removes pellet
by2mdd086	by2	md	d	086		Puts three cubes in cup
by2mdd087	by2	md	d	087	COG47	Places 1 peg repeatedly
by2mdd088	by2	md	d	088	COG43	Retrieves toy - clear box 1
by2mdd089	by2	md	d	089		Puts six beads in box
by2mdd090	by2	md	d	090	COG51	Places 1 piece - blue
by2mdd091	by2	md	d	091	FM30	Scribbles spontaneously
by2mdd092	by2	md	d	092		Closes round container 
by2mdd093	by2	md	d	093	COG49	Places circle pink
by2mdd094	by2	md	d	094		Imitates word
by2mdd095	by2	md	d	095	COG54	9 cubes in cup
by2mdd096	by2	md	d	096	COG45	Finds toy under reversed cups
by2mdd097	by2	md	d	097	FM31	Tower of 2 cubes
by2mdd098	by2	md	d	098	COG55	Places pegs in 70 sec
by2mdd099	by2	md	d	099		Points to two pictures
by2mdd100	by2	md	d	100	EXP18	Uses Words Appropriately Series: 2 words
by2mdd101	by2	md	d	101	REC16	Shows shoes other clothing or object
by2mdd102	by2	md	d	102	COG50	Retrieves toy - visible displacement
by2mdd103	by2	md	d	103	FM32	Imitates Stroke Series: Random
by2mdd104	by2	md	d	104	COG57	Uses rod to attain toy
by2mdd105	by2	md	d	105		Retrieves Toy (Clear BoxII)
by2mdd106	by2	md	d	106	EXP19	Uses word to make wants known
by2mdd107	by2	md	d	107	REC20	Follows direction doll
by2mdd108	by2	md	d	108	REC24	Points to 3 body parts
by2mdd109	by2	md	d	109	EXP22	Names Picture Series: 1 Picture
by2mdd110	by2	md	d	110	EXP20	Names Object Series: 1 Object
by2mdd111	by2	md	d	111	EXP21	Combines word and gesture
by2mdd112	by2	md	d	112	COG58	Places 4 pieces in 150 sec
by2mdd113	by2	md	d	113	EXP23	Says 8 words
by2mdd114	by2	md	d	114	EXP26	Uses a two-word utterance
by2mdd115	by2	md	d	115	COG56	Completes pink
by2mdd116	by2	md	d	116	FM43	Differentiates scribble from stroke
by2mdd117	by2	md	d	117	EXP25	Imitates a two-word utterance
by2mdd118	by2	md	d	118		Identifies Objects in Photograph
by2mdd119	by2	md	d	119	COG62	Completes pegboard 25 sec
by2mdd120	by2	md	d	120	COG60	Completes reversed pink
by2mdd121	by2	md	d	121	EXP30	Uses pronouns
by2mdd122	by2	md	d	122		Points to Five Pictures
by2mdd123	by2	md	d	123	FM38	Tower of 6 cubes
by2mdd124	by2	md	d	124		Discriminates Book, Cube and Key
by2mdd125	by2	md	d	125	COG64	Matches pictures
by2mdd126	by2	md	d	126	EXP27	Names Object Series: 3 Object
by2mdd127	by2	md	d	127	EXP29	Uses 3 word sentence
by2mdd128	by2	md	d	128	COG68	Matches 3 colors
by2mdd129	by2	md	d	129	EXP33	Makes a contingent utterance
by2mdd130	by2	md	d	130	COG66	Blue board - 75 sec
by2mdd131	by2	md	d	131	COG59	Attends to story
by2mdd132	by2	md	d	132		Places Beads in Tube in 120 seconds
by2mdd133	by2	md	d	133	EXP28	Names Picture Series: 5 Pictures
by2mdd134	by2	md	d	134	EXP35	Displays verbal comprehension
by2mdd135	by2	md	d	135		Builds Tower of Eight Cubes
by2mdd136	by2	md	d	136	EXP32	Poses questions
by2mdd137	by2	md	d	137		Matches Four Colours
by2mdd138	by2	md	d	138		Builds train of cubes
by2mdd139	by2	md	d	139		Imitates vertical and horizontal strokes
by2mdd140	by2	md	d	140	REC32	Understands Preposition Series: 2 correct
by2mdd141	by2	md	d	141	COG70	Understands concept of 1
by2mdd142	by2	md	d	142		Produces multiple word utterances in response to picture book
by2mdd143	by2	md	d	143		Recalls geometric forms
by2mdd144	by2	md	d	144		Discriminates pictures I
by2mdd145	by2	md	d	145	REC31	Compares sizes
by2mdd146	by2	md	d	146		Counts (number names)
by2mdd147	by2	md	d	147	COG74	Compares masses
by2mdd148	by2	md	d	148	EXP47	Uses past tense
by2pdd051	by2	pd	d	051	GM32	Moves from sitting to creeping position
by2pdd052	by2	pd	d	052	GM35	Raises self to standing position
by2pdd053	by2	pd	d	053	GM37	Attempts to walk
by2pdd054	by2	pd	d	054	GM38	Walks sideways while holding on to furniture
by2pdd055	by2	pd	d	055	GM39	Sits down
by2pdd056	by2	pd	d	056	FM26	Food Pellet Series: Thumb-fingertip grasp
by2pdd057	by2	pd	d	057		Uses partial thumb opposition to graps rod
by2pdd058	by2	pd	d	058		Grasp pencil of farthest end
by2pdd059	by2	pd	d	059	GM41	Stands up 1
by2pdd060	by2	pd	d	060		Walks with help
by2pdd061	by2	pd	d	061	GM40	Stands alone
by2pdd062	by2	pd	d	062	GM42	Walks alone
by2pdd063	by2	pd	d	063	GM43	Walks alone with good coordination
by2pdd064	by2	pd	d	064	GM44	Throws ball
by2pdd065	by2	pd	d	065	GM45	Squats briefly
by2pdd066	by2	pd	d	066	GM47	Walks up stairs with help
by2pdd067	by2	pd	d	067	GM48	Walks backwards
